#air_angle,ground_angle,wind_angle
:2009-06-01 020900000-0500:35,74.1,60
:2009-06-01 020905000-0500:35,74.1,80
:2009-06-01 020910000-0500:35,74.1,70
:2009-06-01 020915000-0500:35,74.1,60
:2009-06-01 020920000-0500:35,74.1,60
:2009-06-01 020925000-0500:35,74.1,60
:2009-06-01 020930000-0500:35,74.1,60
:2009-06-01 020935000-0500:35,74.1,26
:2009-06-01 020940000-0500:35,74.1,26
:2009-06-01 020945000-0500:35,74.1,28
:2009-06-01 020950000-0500:35,74.1,30
:2009-06-01 020955000-0500:35,74.1,31
:2009-06-01 021000000-0500:35,74.1,90
:2009-06-01 021005000-0500:35,74.1,200
:2009-06-01 021010000-0500:35,74.1,212
:2009-06-01 021015000-0500:35,74.1,212
:2009-06-01 021020000-0500:35,74.1,212
:2009-06-01 021025000-0500:35,74.1,212
:2009-06-01 021030000-0500:35,74.1,100
:2009-06-01 021035000-0500:35,74.1,80
:2009-06-01 021040000-0500:35,74.1,75
:2009-06-01 021045000-0500:35,74.1,80
:2009-06-01 021050000-0500:35,74.1,82
:2009-06-01 021055000-0500:35,74.1,81
:2009-06-01 021100000-0500:35,74.1,90
:2009-06-01 021105000-0500:35,74.1,92
:2009-06-01 021110000-0500:35,74.1,89
:2009-06-01 021115000-0500:35,74.1,91
:2009-06-01 021120000-0500:35,74.1,94
:2009-06-01 021125000-0500:35,74.1,95
:2009-06-01 021130000-0500:35,74.1,95
