#,va,failed_va,aa,vg,ag,vw,aw
:2009-06-01 030930000-0400:472.210419,472.210419,472.210419,37.51469447,467.9487179,30,10,37.51469447
:2009-06-01 030931000-0400:470.9925989,470.9925989,470.9925989,37.72429855,467.9487179,30,10,37.72429855
:2009-06-01 030932000-0400:471.0216472,471.0216472,471.0216472,37.72429855,468.9102564,30,10,37.72429855
:2009-06-01 030933000-0400:471.0506959,471.0506959,471.0506959,34.15437507,468.2692308,30,10,34.15437507
:2009-06-01 030934000-0400:471.0797448,471.0797448,471.0797448,33.57633113,468.9102564,30,10,33.57633113
:2009-06-01 030935000-0400:471.0830097,471.0830097,471.0830097,33.57633113,468.9102564,30,10,33.57633113
:2009-06-01 030936000-0400:471.1120591,471.1120591,471.1120591,35.69784851,470.8333333,30,10,35.69784851
:2009-06-01 030937000-0400:471.3735141,471.3735141,471.3735141,38.56271487,470.5128205,30,10,38.56271487
:2009-06-01 030938000-0400:465.8628545,465.8628545,465.8628545,38.56271487,471.474359,30,10,38.56271487
:2009-06-01 030939000-0400:470.1441626,470.1441626,470.1441626,37.59121659,471.474359,30,10,37.59121659
:2009-06-01 030940000-0400:470.0743174,470.0743174,470.0743174,37.59121659,470.8333333,30,10,37.59121659
:2009-06-01 030941000-0400:471.231526,471.231526,471.231526,37.32837973,470.1923077,30,10,37.32837973
:2009-06-01 030942000-0400:474.5465217,474.5465217,474.5465217,37.53798381,468.5897436,30,10,37.53798381
:2009-06-01 030943000-0400:471.8011919,471.8011919,471.8011919,37.53798381,468.5897436,30,10,37.53798381
:2009-06-01 030944000-0400:472.2618592,472.2618592,472.2618592,37.03892647,468.5897436,30,10,37.03892647
:2009-06-01 030945000-0400:472.4638342,472.4638342,472.4638342,37.48475103,468.5897436,30,10,37.48475103
:2009-06-01 030946000-0400:474.3794557,474.3794557,474.3794557,37.48475103,469.2307692,30,10,37.48475103
:2009-06-01 030947000-0400:472.6852068,472.6852068,472.6852068,37.45813463,469.2307692,30,10,37.45813463
:2009-06-01 030948000-0400:476.6381414,476.6381414,476.6381414,37.19529777,467.9487179,30,10,37.19529777
:2009-06-01 030949000-0400:474.4186537,474.4186537,474.4186537,37.19529777,468.9102564,30,10,37.19529777
:2009-06-01 030950000-0400:474.2377244,474.2377244,474.2377244,37.16868138,468.9102564,30,10,37.16868138
:2009-06-01 030951000-0400:474.328001,474.328001,474.328001,38.55938782,468.9102564,30,10,38.55938782
:2009-06-01 030952000-0400:468.2278328,468.2278328,468.2278328,38.55938782,467.6282051,30,10,38.55938782
:2009-06-01 030953000-0400:478.2037394,478.2037394,478.2037394,38.7689919,469.2307692,30,10,38.7689919
:2009-06-01 030954000-0400:484.9100548,484.9100548,484.9100548,38.7689919,468.5897436,30,10,38.7689919
:2009-06-01 030955000-0400:469.8850087,469.8850087,469.8850087,38.0337141,468.5897436,30,10,38.0337141
:2009-06-01 030956000-0400:482.52013,482.52013,482.52013,38.0070977,470.5128205,30,10,38.0070977
:2009-06-01 030957000-0400:476.2859659,476.2859659,476.2859659,38.0070977,470.8333333,30,10,38.0070977
:2009-06-01 030958000-0400:476.3569574,476.3569574,476.3569574,38.68914273,472.1153846,30,10,38.68914273
:2009-06-01 030959000-0400:481.0931159,481.0931159,481.0931159,37.2452035,472.1153846,30,10,37.2452035
:2009-06-01 031000000-0400:491.0171258,491.0171258,491.0171258,37.2452035,469.2307692,30,10,37.2452035
:2009-06-01 031001000-0400:486.2441386,486.2441386,486.2441386,35.32882333,475,30,10,35.32882333
:2009-06-01 031002000-0400:516.7870515,516.7870515,516.7870515,36.24708883,475,30,10,36.24708883
:2009-06-01 031003000-0400:496.0189465,496.0189465,496.0189465,36.24708883,475,30,10,36.24708883
:2009-06-01 031004000-0400:354.1132463,354.1132463,354.1132463,37.16535433,476.9230769,30,10,37.16535433
:2009-06-01 031005000-0400:371.7182946,371.7182946,371.7182946,36.66629699,476.9230769,30,10,36.66629699
:2009-06-01 031006000-0400:514.8384665,514.8384665,514.8384665,36.66629699,476.9230769,30,10,36.66629699
:2009-06-01 031007000-0400:452.959064,452.959064,452.959064,35.45857824,476.9230769,30,10,35.45857824
:2009-06-01 031008000-0400:163.9088618,163.9088618,163.9088618,35.45857824,476.9230769,30,10,35.45857824
:2009-06-01 031009000-0400:139.8527884,139.8527884,139.8527884,34.25085949,476.9230769,30,10,34.25085949
:2009-06-01 031010000-0400:127.2817761,127.2817761,127.2817761,37.53132971,476.9230769,30,10,37.53132971
:2009-06-01 031011000-0400:143.8679177,143.8679177,143.8679177,37.53132971,475.9615385,30,10,37.53132971
:2009-06-01 031012000-0400:107.0983892,107.0983892,107.0983892,38.44959521,473.3974359,30,10,38.44959521
:2009-06-01 031013000-0400:142.4386084,142.4386084,142.4386084,38.42297882,468.5897436,30,10,38.42297882
:2009-06-01 031014000-0400:166.7550932,166.7550932,166.7550932,38.42297882,468.5897436,30,10,38.42297882
:2009-06-01 031015000-0400:168.1779132,168.1779132,168.1779132,38.6325829,467.6282051,30,10,38.6325829
:2009-06-01 031016000-0400:165.6043012,165.6043012,165.6043012,38.36974604,461.5384615,30,10,38.36974604
:2009-06-01 031017000-0400:141.9471749,141.9471749,141.9471749,38.36974604,458.974359,30,10,38.36974604
:2009-06-01 031018000-0400:151.6975162,151.6975162,151.6975162,38.34312964,458.974359,30,10,38.34312964
:2009-06-01 031019000-0400:169.3140147,169.3140147,169.3140147,38.31651325,452.8846154,30,10,38.31651325
