#air_speed,air_angle
:2012-04-03 150400000-0400~2012-04-03 154400000-0400:162,246
:2012-04-03 154401000-0400:150.8,246
:2012-04-03 154402000-0400:139.6,246
:2012-04-03 154403000-0400:128.4,246
:2012-04-03 154404000-0400:117.2,246
:2012-04-03 154405000-0400:106,246
:2012-04-03 154406000-0400:94.8,246
:2012-04-03 154407000-0400:83.6,246
:2012-04-03 154408000-0400:72.4,246
:2012-04-03 154409000-0400:61.2,246
:2012-04-03 154410000-0400~2012-04-03 155730000-0400:50,246
:2012-04-03 155731000-0400~2012-04-03 155830000-0400:50,239
:2012-04-03 155831000-0400~2012-04-03 162420000-0400:50,221
:2012-04-03 162421000-0400~2012-04-03 162814000-0400:50,215
:2012-04-03 162815000-0400~2012-04-03 163647000-0400:50,213
:2012-04-03 163648000-0400~2012-04-03 164500000-0400:50,204
