#airspeed,weight
:2014-03-28 010439000-0400:177.5830527,18612.77814
:2014-03-28 010440000-0400:177.9151544,18611.13494
:2014-03-28 010441000-0400:178.4757851,18609.49174
:2014-03-28 010442000-0400:179.0377327,18607.95373
:2014-03-28 010443000-0400:179.533167,18606.52674
:2014-03-28 010444000-0400:179.9965842,18605.07143
:2014-03-28 010445000-0400:180.4133326,18603.43761
:2014-03-28 010446000-0400:180.7454343,18601.79441
:2014-03-28 010447000-0400:181.0660083,18600.23709
:2014-03-28 010448000-0400:181.0701128,18598.72362
:2014-03-28 010449000-0400:181.0742172,18597.20453
:2014-03-28 010450000-0400:181.0783217,18595.64782
:2014-03-28 010451000-0400:181.0824262,18594.0911
:2014-03-28 010452000-0400:181.0865306,18592.53438
:2014-03-28 010453000-0400:181.0906351,18590.97767
:2014-03-28 010454000-0400:181.1222883,18589.3606
:2014-03-28 010455000-0400:181.5200394,18587.67415
:2014-03-28 010456000-0400:181.9177905,18585.98771
:2014-03-28 010457000-0400:182.0202949,18584.30127
:2014-03-28 010458000-0400:182.0243994,18582.61483
:2014-03-28 010459000-0400:182.0285038,18581.10736
:2014-03-28 010500000-0400:182.0326083,18579.72361
:2014-03-28 010501000-0400:182.0367128,18578.30478
:2014-03-28 010502000-0400:182.0408172,18576.66158
:2014-03-28 010503000-0400:182.0449217,18575.03604
:2014-03-28 010504000-0400:182.0490261,18573.64992
:2014-03-28 010505000-0400:182.0531306,18572.30941
:2014-03-28 010506000-0400:182.0572351,18570.73657
:2014-03-28 010507000-0400:182.0613395,18568.96365
:2014-03-28 010508000-0400:182.065444,18567.21998
:2014-03-28 010509000-0400:182.0695484,18565.77702
:2014-03-28 010510000-0400:182.0736529,18564.35003
:2014-03-28 010511000-0400:182.024026,18562.81847
:2014-03-28 010512000-0400:181.962581,18561.26175
:2014-03-28 010513000-0400:181.9337593,18559.78635
:2014-03-28 010514000-0400:181.9378637,18558.31612
:2014-03-28 010515000-0400:181.9765899,18556.84589
:2014-03-28 010516000-0400:182.1774428,18555.27944
:2014-03-28 010517000-0400:182.3782957,18553.67948
:2014-03-28 010518000-0400:182.635259,18551.94861
:2014-03-28 010519000-0400:182.9017279,18550.21893
:2014-03-28 010520000-0400:183.0454639,18548.54869
:2014-03-28 010521000-0400:183.0823493,18547.0736
:2014-03-28 010522000-0400:183.1821207,18545.60337
:2014-03-28 010523000-0400:183.5142223,18544.1567
:2014-03-28 010524000-0400:183.846324,18542.72971
:2014-03-28 010525000-0400:183.9734089,18541.15314
:2014-03-28 010526000-0400:184.0758688,18539.29373
:2014-03-28 010527000-0400:184.1970699,18537.47879
:2014-03-28 010528000-0400:184.3323233,18536.05129
:2014-03-28 010529000-0400:184.410128,18534.66754
:2014-03-28 010530000-0400:184.3159144,18532.96482
:2014-03-28 010531000-0400:184.2217008,18531.06217
:2014-03-28 010532000-0400:184.3100385,18529.29536
:2014-03-28 010533000-0400:184.4124985,18528.02817
:2014-03-28 010534000-0400:184.4154819,18526.77415
:2014-03-28 010535000-0400:184.3540368,18525.2606
