#airspeed,weight
:2014-03-28 010439000-0400:177.5830527,16812.77814
:2014-03-28 010440000-0400:177.9151544,16811.13494
:2014-03-28 010441000-0400:178.4757851,16809.49174
:2014-03-28 010442000-0400:179.0377327,16807.95373
:2014-03-28 010443000-0400:179.533167,16806.52674
:2014-03-28 010444000-0400:179.9965842,16805.07143
:2014-03-28 010445000-0400:180.4133326,16803.43761
:2014-03-28 010446000-0400:180.7454343,16801.79441
:2014-03-28 010447000-0400:181.0660083,16800.23709
:2014-03-28 010448000-0400:181.0701128,16798.72362
:2014-03-28 010449000-0400:181.0742172,16797.20453
:2014-03-28 010450000-0400:181.0783217,16795.64782
:2014-03-28 010451000-0400:181.0824262,16794.0911
:2014-03-28 010452000-0400:181.0865306,16792.53438
:2014-03-28 010453000-0400:181.0906351,16790.97767
:2014-03-28 010454000-0400:181.1222883,16789.3606
:2014-03-28 010455000-0400:181.5200394,16787.67415
:2014-03-28 010456000-0400:181.9177905,16785.98771
:2014-03-28 010457000-0400:182.0202949,16784.30127
:2014-03-28 010458000-0400:182.0243994,16782.61483
:2014-03-28 010459000-0400:182.0285038,16781.10736
:2014-03-28 010500000-0400:182.0326083,16779.72361
:2014-03-28 010501000-0400:182.0367128,16778.30478
:2014-03-28 010502000-0400:182.0408172,16776.66158
:2014-03-28 010503000-0400:182.0449217,16775.03604
:2014-03-28 010504000-0400:182.0490261,16773.64992
:2014-03-28 010505000-0400:182.0531306,16772.30941
:2014-03-28 010506000-0400:182.0572351,16770.73657
:2014-03-28 010507000-0400:182.0613395,16768.96365
:2014-03-28 010508000-0400:182.065444,16767.21998
:2014-03-28 010509000-0400:182.0695484,16765.77702
:2014-03-28 010510000-0400:182.0736529,16764.35003
:2014-03-28 010511000-0400:182.024026,16762.81847
:2014-03-28 010512000-0400:181.962581,16761.26175
:2014-03-28 010513000-0400:181.9337593,16759.78635
:2014-03-28 010514000-0400:181.9378637,16758.31612
:2014-03-28 010515000-0400:181.9765899,16756.84589
:2014-03-28 010516000-0400:182.1774428,16755.27944
:2014-03-28 010517000-0400:182.3782957,16753.67948
:2014-03-28 010518000-0400:182.635259,16751.94861
:2014-03-28 010519000-0400:182.9017279,16750.21893
:2014-03-28 010520000-0400:183.0454639,16748.54869
:2014-03-28 010521000-0400:183.0823493,16747.0736
:2014-03-28 010522000-0400:183.1821207,16745.60337
:2014-03-28 010523000-0400:183.5142223,16744.1567
:2014-03-28 010524000-0400:183.846324,16742.72971
:2014-03-28 010525000-0400:183.9734089,16741.15314
:2014-03-28 010526000-0400:184.0758688,16739.29373
:2014-03-28 010527000-0400:184.1970699,16737.47879
:2014-03-28 010528000-0400:184.3323233,16736.05129
:2014-03-28 010529000-0400:184.410128,16734.66754
:2014-03-28 010530000-0400:184.3159144,16732.96482
:2014-03-28 010531000-0400:184.2217008,16731.06217
:2014-03-28 010532000-0400:184.3100385,16729.29536
:2014-03-28 010533000-0400:184.4124985,16728.02817
:2014-03-28 010534000-0400:184.4154819,16726.77415
:2014-03-28 010535000-0400:184.3540368,16725.2606
