#v_a,w,h
:2005-08-06 122230000-0400:10.48,19420.12,230.63
:2005-08-06 122240000-0400:2.82,19420.12,230.63
:2005-08-06 122250000-0400:1.21,19420.12,196.56
:2005-08-06 122300000-0400:3.8,19419.61,196.56
:2005-08-06 122310000-0400:1.88,19419.61,196.56
:2005-08-06 122320000-0400:1.88,19419.29,211.44
:2005-08-06 122330000-0400:1.15,19419.29,211.44
:2005-08-06 122340000-0400:1.15,19416.8,212.33
:2005-08-06 122350000-0400:0.63,19416.18,212.33
:2005-08-06 122400000-0400:0.63,19416.18,178.26
:2005-08-06 122410000-0400:0.63,19415.35,178.26
:2005-08-06 122420000-0400:2.37,19415.35,178.26
:2005-08-06 122430000-0400:10.07,19415.35,172.16
:2005-08-06 122440000-0400:14.77,19414.42,172.16
:2005-08-06 122450000-0400:16.48,19414.42,173.05
:2005-08-06 122500000-0400:16.48,19413.59,173.05
:2005-08-06 122510000-0400:16.94,19413.59,201.9
:2005-08-06 122520000-0400:11.28,19412.76,201.9
:2005-08-06 122530000-0400:11.28,19412.76,201.9
:2005-08-06 122540000-0400:11.87,19412.76,216.77
:2005-08-06 122550000-0400:11.48,19411.72,216.77
:2005-08-06 122600000-0400:11.48,19411.72,217.66
:2005-08-06 122610000-0400:17.29,19400.52,217.66
:2005-08-06 122620000-0400:18.18,19400.52,218.55
:2005-08-06 122630000-0400:16.06,19400.52,218.55
:2005-08-06 122640000-0400:16.06,19399.48,218.55
:2005-08-06 122650000-0400:26.42,19399.48,219.44
:2005-08-06 122700000-0400:19.63,19398.76,219.44
:2005-08-06 122710000-0400:21.22,19398.76,206.35
:2005-08-06 122720000-0400:21.22,19397.72,206.35
:2005-08-06 122730000-0400:17.7,19397.72,206.35
:2005-08-06 122740000-0400:17.7,19397.72,200.25
:2005-08-06 122750000-0400:14.9,19396.89,200.25
:2005-08-06 122800000-0400:14.9,19396.89,222.11
:2005-08-06 122810000-0400:11.01,19395.95,222.11
:2005-08-06 122820000-0400:5.08,19395.95,195.03
:2005-08-06 122830000-0400:9.43,19395.95,195.03
:2005-08-06 122840000-0400:7.98,19394.92,195.03
:2005-08-06 122850000-0400:7.98,19389.94,209.9
:2005-08-06 122900000-0400:7.98,19389.21,209.9
:2005-08-06 122910000-0400:4.88,19389.21,224.78
:2005-08-06 122920000-0400:0.75,19387.97,224.78
:2005-08-06 122930000-0400:10.84,19387.97,211.68
:2005-08-06 122940000-0400:6.32,19387.97,211.68
:2005-08-06 122950000-0400:12.77,19386.72,211.68
:2005-08-06 123000000-0400:10.55,19386.72,219.56
:2005-08-06 123010000-0400:14.58,19386.41,219.56
:2005-08-06 123020000-0400:14.58,19386.41,227.44
:2005-08-06 123030000-0400:15.4,19386.41,227.44
:2005-08-06 123040000-0400:10.1,19385.48,228.33
:2005-08-06 123050000-0400:10.1,19385.48,228.33
:2005-08-06 123100000-0400:5.72,19384.13,228.33
:2005-08-06 123110000-0400:1.26,19377.9,229.22
:2005-08-06 123120000-0400:5.79,19377.7,229.22
:2005-08-06 123130000-0400:11.97,19377.7,230.11
:2005-08-06 123140000-0400:11.97,19377.7,230.11
:2005-08-06 123150000-0400:2.61,19376.56,230.11
:2005-08-06 123200000-0400:7.36,19376.56,231
:2005-08-06 123210000-0400:17.57,19376.56,231
:2005-08-06 123220000-0400:86.22,19372.3,231.89
:2005-08-06 123230000-0400:119.86,19372.3,231.89
:2005-08-06 123240000-0400:135.39,19372.3,470.48
:2005-08-06 123250000-0400:135.39,19369.09,470.48
:2005-08-06 123300000-0400:127.22,19360.37,995.3
:2005-08-06 123310000-0400:132.2,19360.37,995.3
:2005-08-06 123320000-0400:133.58,19357.05,1527.31
:2005-08-06 123330000-0400:146.72,19357.05,1527.31
:2005-08-06 123340000-0400:145.12,19353.53,1968.49
:2005-08-06 123350000-0400:145.12,19353.53,2573.88
:2005-08-06 123400000-0400:143.95,19350.21,2573.88
:2005-08-06 123410000-0400:143.95,19344.4,3200.2
:2005-08-06 123420000-0400:143.95,19344.4,3200.2
:2005-08-06 123430000-0400:143.26,19340.73,3810.38
:2005-08-06 123440000-0400:143.26,19340.73,4306
:2005-08-06 123450000-0400:144.27,19334.23,4306
:2005-08-06 123500000-0400:144.27,19334.23,4830.94
:2005-08-06 123510000-0400:145.04,19334.23,4830.94
:2005-08-06 123520000-0400:145.04,19328.32,5314.02
:2005-08-06 123530000-0400:145.04,19328.32,5796.89
:2005-08-06 123540000-0400:144.44,19322.51,5796.89
:2005-08-06 123550000-0400:144.44,19322.51,6313.5
:2005-08-06 123600000-0400:144.68,19316.56,6313.5
:2005-08-06 123610000-0400:144.68,19316.56,6825.91
:2005-08-06 123620000-0400:144.01,19316.56,7304.76
:2005-08-06 123630000-0400:144.01,19309.71,7304.76
:2005-08-06 123640000-0400:144.01,19309.71,7775.16
:2005-08-06 123650000-0400:144.78,19306.12,7775.16
:2005-08-06 123700000-0400:144.78,19306.12,8195.21
:2005-08-06 123710000-0400:148.36,19306.12,8195.21
:2005-08-06 123720000-0400:148.36,19298.24,8800.2
:2005-08-06 123730000-0400:154.69,19298.24,8800.2
:2005-08-06 123740000-0400:160.02,19292.22,9220.55
:2005-08-06 123750000-0400:160.02,19292.22,9220.55
:2005-08-06 123800000-0400:165.54,19289.52,9661.88
:2005-08-06 123810000-0400:168.33,19286.41,9661.88
:2005-08-06 123820000-0400:168.33,19286.41,9661.88
:2005-08-06 123830000-0400:169.63,19280.71,10089.22
:2005-08-06 123840000-0400:169.63,19280.71,10089.22
:2005-08-06 123850000-0400:169.63,19278.32,10544.53
:2005-08-06 123900000-0400:169.57,19275.66,10544.53
:2005-08-06 123910000-0400:169.57,19275.66,10544.53
:2005-08-06 123920000-0400:169.42,19269.71,10985.86
