#v_a,w,h
:2005-08-06 122230000-0400:10.48,17270.12,230.63
:2005-08-06 122240000-0400:2.82,17270.12,230.63
:2005-08-06 122250000-0400:1.21,17270.12,196.56
:2005-08-06 122300000-0400:3.80,17269.61,196.56
:2005-08-06 122310000-0400:1.88,17269.61,196.56
:2005-08-06 122320000-0400:1.88,17269.29,211.44
:2005-08-06 122330000-0400:1.15,17269.29,211.44
:2005-08-06 122340000-0400:1.15,17266.80,212.33
:2005-08-06 122350000-0400:0.63,17266.18,212.33
:2005-08-06 122400000-0400:0.63,17266.18,178.26
:2005-08-06 122410000-0400:0.63,17265.35,178.26
:2005-08-06 122420000-0400:2.37,17265.35,178.26
:2005-08-06 122430000-0400:10.07,17265.35,172.16
:2005-08-06 122440000-0400:14.77,17264.42,172.16
:2005-08-06 122450000-0400:16.48,17264.42,173.05
:2005-08-06 122500000-0400:16.48,17263.59,173.05
:2005-08-06 122510000-0400:16.94,17263.59,201.90
:2005-08-06 122520000-0400:11.28,17262.76,201.90
:2005-08-06 122530000-0400:11.28,17262.76,201.90
:2005-08-06 122540000-0400:11.87,17262.76,216.77
:2005-08-06 122550000-0400:11.48,17261.72,216.77
:2005-08-06 122600000-0400:11.48,17261.72,217.66
:2005-08-06 122610000-0400:17.29,17250.52,217.66
:2005-08-06 122620000-0400:18.18,17250.52,218.55
:2005-08-06 122630000-0400:16.06,17250.52,218.55
:2005-08-06 122640000-0400:16.06,17249.48,218.55
:2005-08-06 122650000-0400:26.42,17249.48,219.44
:2005-08-06 122700000-0400:19.63,17248.76,219.44
:2005-08-06 122710000-0400:21.22,17248.76,206.35
:2005-08-06 122720000-0400:21.22,17247.72,206.35
:2005-08-06 122730000-0400:17.70,17247.72,206.35
:2005-08-06 122740000-0400:17.70,17247.72,200.25
:2005-08-06 122750000-0400:14.90,17246.89,200.25
:2005-08-06 122800000-0400:14.90,17246.89,222.11
:2005-08-06 122810000-0400:11.01,17245.95,222.11
:2005-08-06 122820000-0400:5.08,17245.95,195.03
:2005-08-06 122830000-0400:9.43,17245.95,195.03
:2005-08-06 122840000-0400:7.98,17244.92,195.03
:2005-08-06 122850000-0400:7.98,17239.94,209.90
:2005-08-06 122900000-0400:7.98,17239.21,209.90
:2005-08-06 122910000-0400:4.88,17239.21,224.78
:2005-08-06 122920000-0400:0.75,17237.97,224.78
:2005-08-06 122930000-0400:10.84,17237.97,211.68
:2005-08-06 122940000-0400:6.32,17237.97,211.68
:2005-08-06 122950000-0400:12.77,17236.72,211.68
:2005-08-06 123000000-0400:10.55,17236.72,219.56
:2005-08-06 123010000-0400:14.58,17236.41,219.56
:2005-08-06 123020000-0400:14.58,17236.41,227.44
:2005-08-06 123030000-0400:15.40,17236.41,227.44
:2005-08-06 123040000-0400:10.10,17235.48,228.33
:2005-08-06 123050000-0400:10.10,17235.48,228.33
:2005-08-06 123100000-0400:5.72,17234.13,228.33
:2005-08-06 123110000-0400:1.26,17227.90,229.22
:2005-08-06 123120000-0400:5.79,17227.70,229.22
:2005-08-06 123130000-0400:11.97,17227.70,230.11
:2005-08-06 123140000-0400:11.97,17227.70,230.11
:2005-08-06 123150000-0400:2.61,17226.56,230.11
:2005-08-06 123200000-0400:7.36,17226.56,231.00
:2005-08-06 123210000-0400:17.57,17226.56,231.00
:2005-08-06 123220000-0400:86.22,17222.30,231.89
:2005-08-06 123230000-0400:119.86,17222.30,231.89
:2005-08-06 123240000-0400:135.39,17222.30,470.48
:2005-08-06 123250000-0400:135.39,17219.09,470.48
:2005-08-06 123300000-0400:127.22,17210.37,995.30
:2005-08-06 123310000-0400:132.20,17210.37,995.30
:2005-08-06 123320000-0400:133.58,17207.05,1527.31
:2005-08-06 123330000-0400:146.72,17207.05,1527.31
:2005-08-06 123340000-0400:145.12,17203.53,1968.49
