#air_speed,ground_speed,wind_speed
:2009-06-01 020900000-0500:275,470,29
:2009-06-01 020905000-0500:275,470,27
:2009-06-01 020910000-0500:275,470,25
:2009-06-01 020915000-0500:275,470,26
:2009-06-01 020920000-0500:275,470,27
:2009-06-01 020925000-0500:275,470,28
:2009-06-01 020930000-0500:275,470,27
:2009-06-01 020935000-0500:275,470,26
:2009-06-01 020940000-0500:275,470,26
:2009-06-01 020945000-0500:275,470,28
:2009-06-01 020950000-0500:275,470,30
:2009-06-01 020955000-0500:275,470,31
:2009-06-01 021000000-0500:275,480,30
:2009-06-01 021005000-0500:275,480,28
:2009-06-01 021010000-0500:52,480,30
:2009-06-01 021015000-0500:95,470,31
:2009-06-01 021020000-0500:100,445,30
:2009-06-01 021025000-0500:105,425,31
:2009-06-01 021030000-0500:105,410,30
:2009-06-01 021035000-0500:104,405,31
:2009-06-01 021040000-0500:223,402,30
:2009-06-01 021045000-0500:220,400,30
:2009-06-01 021050000-0500:216,400,31
:2009-06-01 021055000-0500:204,390,29
:2009-06-01 021100000-0500:200,375,28
:2009-06-01 021105000-0500:193,360,31
:2009-06-01 021110000-0500:188,345,33
:2009-06-01 021115000-0500:180,340,31
:2009-06-01 021120000-0500:177,330,27
:2009-06-01 021125000-0500:175,315,37
:2009-06-01 021130000-0500:173,290,42
