,vind_kias,prs_inHG,tmp_degC,alt_ftmsl,curr_w, 
:2020-02-08 133400000-0500:,0.52004,30.09276,24.02337,867.18152,2719.63428, 
:2020-02-08 133400200-0500:,0.52004,30.09276,24.02337,867.18213,2719.63428, 
:2020-02-08 133400400-0500:,0.73546,30.09276,24.02337,867.18274,2719.62524, 
:2020-02-08 133400600-0500:,0.73546,30.09275,24.02337,867.18335,2719.62524, 
:2020-02-08 133400800-0500:,0.90076,30.09275,24.02337,867.18384,2719.62524, 
:2020-02-08 133401000-0500:,1.04011,30.09275,24.02337,867.18451,2719.62524, 
:2020-02-08 133401200-0500:,1.27388,30.09275,24.02337,867.18524,2719.62524, 
:2020-02-08 133401400-0500:,1.47095,30.09275,24.02337,867.18591,2719.61377, 
:2020-02-08 133401600-0500:,1.72485,30.09275,24.02337,867.18652,2719.61377, 
:2020-02-08 133401800-0500:,1.94589,30.09275,24.02336,867.18726,2719.61377, 
:2020-02-08 133402000-0500:,2.2669,30.09275,24.02336,867.18811,2719.61377, 
:2020-02-08 133402200-0500:,2.60032,30.09275,24.02336,867.18921,2719.61377, 
:2020-02-08 133402400-0500:,2.98754,30.09275,24.02336,867.19043,2719.60034, 
:2020-02-08 133402600-0500:,3.3704,30.09275,24.02335,867.19196,2719.60034, 
:2020-02-08 133402800-0500:,3.78613,30.09275,24.02335,867.19385,2719.60034, 
:2020-02-08 133403000-0500:,4.25692,30.09274,24.02335,867.19604,2719.60034, 
:2020-02-08 133403200-0500:,4.73802,30.09274,24.02334,867.19867,2719.60034, 
:2020-02-08 133403400-0500:,5.25241,30.09274,24.02333,867.20197,2719.58545, 
:2020-02-08 133403600-0500:,5.76781,30.09274,24.02333,867.20587,2719.58545, 
:2020-02-08 133403800-0500:,6.30547,30.09273,24.02332,867.21033,2719.58545, 
:2020-02-08 133404000-0500:,6.87984,30.09272,24.02331,867.21545,2719.58545, 
:2020-02-08 133404200-0500:,7.44622,30.09272,24.0233,867.22095,2719.58545, 
:2020-02-08 133404400-0500:,8.04004,30.09271,24.02329,867.22668,2719.56909, 
:2020-02-08 133404600-0500:,8.67125,30.0927,24.02328,867.23236,2719.56909, 
:2020-02-08 133404800-0500:,9.2887,30.0927,24.02326,867.23846,2719.56909, 
:2020-02-08 133405000-0500:,9.92225,30.09269,24.02325,867.2453,2719.56909, 
:2020-02-08 133405200-0500:,10.56902,30.09269,24.02323,867.25403,2719.56909, 
:2020-02-08 133405400-0500:,11.23875,30.09268,24.02321,867.2652,2719.56909, 
:2020-02-08 133405600-0500:,11.89353,30.09266,24.02319,867.27863,2719.55249, 
:2020-02-08 133405800-0500:,12.55724,30.09265,24.02316,867.29285,2719.55249, 
:2020-02-08 133406000-0500:,13.23876,30.09263,24.02313,867.3053,2719.55249, 
:2020-02-08 133406200-0500:,13.91606,30.09262,24.02311,867.315,2719.55249, 
:2020-02-08 133406400-0500:,14.599,30.09262,24.02309,867.32428,2719.55249, 
:2020-02-08 133406600-0500:,15.27796,30.0926,24.02307,867.33759,2719.53589, 
:2020-02-08 133406800-0500:,15.96193,30.09259,24.02303,867.35632,2719.53589, 
:2020-02-08 133407000-0500:,16.6503,30.09257,24.02299,867.37585,2719.53589, 
:2020-02-08 133407200-0500:,17.32693,30.09255,24.02297,867.38898,2719.53589, 
:2020-02-08 133407400-0500:,18.02319,30.09254,24.02295,867.39569,2719.53589, 
:2020-02-08 133407600-0500:,18.708,30.09254,24.02294,867.40479,2719.5188, 
:2020-02-08 133407800-0500:,19.39652,30.09252,24.0229,867.42163,2719.5188, 
:2020-02-08 133408000-0500:,20.08163,30.0925,24.02287,867.43732,2719.5188, 
:2020-02-08 133408200-0500:,20.75717,30.09249,24.02286,867.44086,2719.5188, 
:2020-02-08 133408400-0500:,21.44296,30.0925,24.02287,867.43842,2719.5188, 
:2020-02-08 133408600-0500:,22.11972,30.09249,24.02286,867.44366,2719.5022, 
:2020-02-08 133408800-0500:,22.80011,30.09249,24.02284,867.45013,2719.5022, 
:2020-02-08 133409000-0500:,23.48383,30.09249,24.02286,867.44275,2719.5022, 
:2020-02-08 133409200-0500:,24.1538,30.09251,24.02288,867.42889,2719.5022, 
:2020-02-08 133409400-0500:,24.82747,30.09251,24.0229,867.42224,2719.5022, 
:2020-02-08 133409600-0500:,25.49926,30.09253,24.02292,867.4115,2719.48486, 
:2020-02-08 133409800-0500:,26.15897,30.09255,24.02296,867.38928,2719.48486, 
:2020-02-08 133410000-0500:,26.82766,30.09257,24.023,867.36877,2719.48486, 
