,vind_kias,prs_inHG,tmp_degC,alt_ftmsl,curr_w, 
:2020-02-08 133400000-0500:,0.52004,30.09275,24.02336,867.18854,2718.31274, 
:2020-02-08 133400200-0500:,0.52004,30.09275,24.02336,867.1889,2718.31274, 
:2020-02-08 133400400-0500:,0.73546,30.09275,24.02336,867.18945,2718.31274, 
:2020-02-08 133400600-0500:,0.90076,30.09275,24.02336,867.19,2718.31274, 
:2020-02-08 133400800-0500:,1.04011,30.09275,24.02336,867.19073,2718.302, 
:2020-02-08 133401000-0500:,1.27388,30.09275,24.02336,867.19141,2718.302, 
:2020-02-08 133401200-0500:,1.56018,30.09275,24.02335,867.19214,2718.302, 
:2020-02-08 133401400-0500:,1.80154,30.09275,24.02335,867.19275,2718.302, 
:2020-02-08 133401600-0500:,2.14427,30.09275,24.02335,867.19342,2718.302, 
:2020-02-08 133401800-0500:,2.49413,30.09275,24.02335,867.19434,2718.28882, 
:2020-02-08 133402000-0500:,2.84851,30.09274,24.02335,867.19531,2718.28882, 
:2020-02-08 133402200-0500:,3.2478,30.09274,24.02334,867.19672,2718.28882, 
:2020-02-08 133402400-0500:,3.64045,30.09274,24.02334,867.19836,2718.28882, 
:2020-02-08 133402600-0500:,4.12789,30.09274,24.02334,867.20026,2718.28882, 
:2020-02-08 133402800-0500:,4.62245,30.09274,24.02333,867.20264,2718.27417, 
:2020-02-08 133403000-0500:,5.12206,30.09274,24.02333,867.20557,2718.27417, 
:2020-02-08 133403200-0500:,5.62538,30.09273,24.02332,867.20905,2718.27417, 
:2020-02-08 133403400-0500:,6.17545,30.09273,24.02331,867.21313,2718.27417, 
:2020-02-08 133403600-0500:,6.74083,30.09272,24.0233,867.21796,2718.27417, 
:2020-02-08 133403800-0500:,7.31799,30.09272,24.02329,867.22327,2718.25854, 
:2020-02-08 133404000-0500:,7.93848,30.09271,24.02328,867.229,2718.25854, 
:2020-02-08 133404200-0500:,8.56139,30.0927,24.02327,867.23468,2718.25854, 
:2020-02-08 133404400-0500:,9.18622,30.0927,24.02326,867.2406,2718.25854, 
:2020-02-08 133404600-0500:,9.82638,30.09269,24.02325,867.24689,2718.25854, 
:2020-02-08 133404800-0500:,10.46616,30.09269,24.02323,867.2547,2718.24194, 
:2020-02-08 133405000-0500:,11.12993,30.09268,24.02321,867.26483,2718.24194, 
:2020-02-08 133405200-0500:,11.79075,30.09266,24.02319,867.27753,2718.24194, 
:2020-02-08 133405400-0500:,12.47078,30.09265,24.02316,867.29175,2718.24194, 
:2020-02-08 133405600-0500:,13.13622,30.09263,24.02313,867.30499,2718.24194, 
:2020-02-08 133405800-0500:,13.81854,30.09262,24.02311,867.31561,2718.22583, 
:2020-02-08 133406000-0500:,14.50607,30.09262,24.02309,867.32458,2718.22583, 
:2020-02-08 133406200-0500:,15.18919,30.0926,24.02307,867.33594,2718.22583, 
:2020-02-08 133406400-0500:,15.86846,30.09259,24.02304,867.35303,2718.22583, 
:2020-02-08 133406600-0500:,16.56071,30.09257,24.023,867.37323,2718.22583, 
:2020-02-08 133406800-0500:,17.24086,30.09255,24.02297,867.38916,2718.2085, 
:2020-02-08 133407000-0500:,17.93292,30.09254,24.02295,867.39697,2718.2085, 
:2020-02-08 133407200-0500:,18.62105,30.09254,24.02294,867.40381,2718.2085, 
:2020-02-08 133407400-0500:,19.31267,30.09252,24.02291,867.41833,2718.2085, 
:2020-02-08 133407600-0500:,20.00066,30.0925,24.02287,867.43604,2718.2085, 
:2020-02-08 133407800-0500:,20.67884,30.09249,24.02286,867.44342,2718.19189, 
:2020-02-08 133408000-0500:,21.36082,30.09249,24.02286,867.44061,2718.19189, 
:2020-02-08 133408200-0500:,22.04009,30.09249,24.02286,867.44226,2718.19189, 
:2020-02-08 133408400-0500:,22.71692,30.09249,24.02285,867.44916,2718.19189, 
:2020-02-08 133408600-0500:,23.39729,30.09249,24.02285,867.44495,2718.19189, 
:2020-02-08 133408800-0500:,24.06967,30.09251,24.02288,867.43085,2718.17456, 
:2020-02-08 133409000-0500:,24.74563,30.09251,24.0229,867.42151,2718.17456, 
:2020-02-08 133409200-0500:,25.41426,30.09253,24.02291,867.4126,2718.17456, 
:2020-02-08 133409400-0500:,26.08131,30.09254,24.02295,867.39337,2718.17456, 
:2020-02-08 133409600-0500:,26.74689,30.09257,24.02299,867.37238,2718.17456, 
:2020-02-08 133409800-0500:,27.4111,30.09259,24.02303,867.35284,2718.15796, 
:2020-02-08 133410000-0500:,28.07405,30.0926,24.02308,867.3302,2718.15796, 
:2020-02-08 133410200-0500:,28.72642,30.09263,24.02312,867.30737,2718.15796, 
:2020-02-08 133410400-0500:,29.3735,30.09265,24.02317,867.28271,2718.15796, 
:2020-02-08 133410600-0500:,30.02015,30.09268,24.02321,867.26215,2718.15796, 
:2020-02-08 133410800-0500:,30.63551,30.09269,24.02324,867.24951,2718.14062, 
:2020-02-08 133411000-0500:,31.24741,30.0927,24.02327,867.23151,2718.14062, 
:2020-02-08 133411200-0500:,31.90695,30.09272,24.02329,867.224,2718.14062, 
:2020-02-08 133411400-0500:,32.53234,30.09271,24.02328,867.22626,2718.14062, 
:2020-02-08 133411600-0500:,33.16226,30.09272,24.02329,867.22205,2718.14062, 
:2020-02-08 133411800-0500:,33.78444,30.0927,24.02327,867.23846,2718.12354, 
:2020-02-08 133412000-0500:,34.40322,30.09269,24.02323,867.2533,2718.12354, 
:2020-02-08 133412200-0500:,35.02266,30.09267,24.0232,867.27075,2718.12354, 
:2020-02-08 133412400-0500:,35.63513,30.09264,24.02314,867.30194,2718.12354, 
:2020-02-08 133412600-0500:,36.24097,30.09262,24.0231,867.32397,2718.12354, 
:2020-02-08 133412800-0500:,36.84787,30.09259,24.02304,867.35583,2718.10693, 
:2020-02-08 133413000-0500:,37.44854,30.09256,24.02298,867.38275,2718.10693, 
:2020-02-08 133413200-0500:,38.04328,30.09253,24.02293,867.40692,2718.10693, 
:2020-02-08 133413400-0500:,38.64287,30.09251,24.02289,867.42682,2718.10693, 
:2020-02-08 133413600-0500:,39.2333,30.0925,24.02286,867.44122,2718.10693, 
:2020-02-08 133413800-0500:,39.82176,30.09249,24.02285,867.44464,2718.08984, 
:2020-02-08 133414000-0500:,40.40835,30.09249,24.02285,867.44794,2718.08984, 
:2020-02-08 133414200-0500:,40.98984,30.0925,24.02287,867.43335,2718.08984, 
:2020-02-08 133414400-0500:,41.56645,30.09251,24.02289,867.42444,2718.08984, 
