#vw,aw,true_va,va,aa,true_vg,vg,ag,true_aoa,aoa
:2019-06-07 000603000-0400:10.000,290.51706,74.87769,74.87769,18.9474,77.81865,77.81865,18.46755,2.44123,2.44123
:2019-06-07 000604000-0400:10.000,290.51706,74.87769,74.87769,18.94783,77.83726,77.83726,18.46812,2.44161,2.44161
:2019-06-07 000605000-0400:10.000,290.51709,74.87778,74.87778,18.94826,77.85596,77.85596,18.46969,2.4421,2.4421
:2019-06-07 000606000-0400:10.000,290.51709,74.87785,74.87785,18.94885,77.87476,77.87476,18.47103,2.44252,2.44252
:2019-06-07 000607000-0400:10.000,290.51712,74.87792,74.87792,18.94943,77.89344,77.89344,18.47258,2.44299,2.44299
:2019-06-07 000608000-0400:10.000,290.51712,74.87801,74.87801,18.95006,77.91232,77.91232,18.47406,2.44344,2.44344
:2019-06-07 000609000-0400:10.000,290.51715,74.87813,74.87813,18.9507,77.93109,77.93109,18.4749,2.44382,2.44382
:2019-06-07 000610000-0400:10.000,290.51715,74.87821,74.87821,18.95135,77.94996,77.94996,18.47646,2.44429,2.44429
:2019-06-07 000611000-0400:10.000,290.51718,74.87831,74.87831,18.95091,77.97717,77.97717,18.58636,2.44444,2.44444
:2019-06-07 000612000-0400:10.000,290.51718,74.92545,74.92545,18.84708,78.16579,78.16579,18.44257,2.42021,2.42021
:2019-06-07 000613000-0400:10.000,290.51721,75.06796,75.06796,18.81761,78.35082,78.35082,18.36208,2.40231,2.40231
:2019-06-07 000614000-0400:10.000,290.51721,75.22916,75.22916,18.83786,78.49442,78.49442,18.40141,2.39353,2.39353
:2019-06-07 000615000-0400:10.000,290.51724,75.36153,75.36153,18.84979,78.58828,78.58828,18.31566,2.3809,2.3809
:2019-06-07 000616000-0400:10.000,290.51724,75.45273,75.45273,18.87231,78.63943,78.63943,18.23597,2.36573,2.36573
:2019-06-07 000617000-0400:10.000,290.51724,75.50346,75.50346,18.88535,78.65739,78.65739,18.12402,2.35181,2.35181
