
  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   SLprs,_inHG |   SLtmp,_degC |   _wind,speed |   _wind,__dir |   __trb,_locl |   _prec,_locl |   _hail,_locl |   AMprs,_inHG |   AMtmp,_degC |   LEtmp,_degC |   _dens,ratio |   ____A,_ktas |   ____Q,__psf |   gravi,_fts2 |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   _fuel,_1_lb |   _fuel,_2_lb |   _fuel,_3_lb |   _fuel,_4_lb |   _fuel,_5_lb |   _fuel,_6_lb |   _fuel,_7_lb |   _fuel,_8_lb | 
      0.02653 |       0.03332 |       0.03332 |       0.00000 |      17.54844 |      12.54844 |     510.66623 |     -59.95687 |       0.47081 |       0.48029 |       0.48029 |     -68.99714 |       0.55271 |       0.55271 |      29.92000 |      16.90461 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      28.69464 |      14.48933 |      14.48933 |       0.96093 |     660.83130 |       0.00075 |      32.14274 |     -85.50861 |      -0.20787 |      24.10542 |      87.03321 |       0.00000 |     911.25006 |     911.25006 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
      5.73300 |       1.06369 |       1.06369 |       0.00000 |      17.54872 |      12.54872 |     510.66623 |     -20.40202 |       1.12170 |       1.14429 |       1.14429 |     -23.47823 |       1.31682 |       1.31682 |      29.92000 |      16.90461 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |      28.69409 |      14.48821 |      14.48838 |       0.96091 |     660.83002 |       0.00426 |      32.14273 |      -3.01275 |      -0.53791 |      23.09256 |       3.30969 |       0.06634 |     911.25006 |     911.25006 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
      6.73895 |       2.07024 |       2.07024 |       0.00000 |      17.54900 |      12.54900 |     510.66623 |      -6.76483 |       1.01305 |       1.03345 |       1.03345 |      -7.78482 |       1.18928 |       1.18928 |      29.92000 |      16.90461 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |      28.69408 |      14.48820 |      14.48834 |       0.96091 |     660.83002 |       0.00348 |      32.14273 |      -5.93377 |      -0.21455 |      22.70723 |       5.40519 |       0.04846 |     911.25006 |     911.25006 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
      7.73510 |       3.06628 |       3.06628 |       0.00000 |      17.54928 |      12.54928 |     510.66623 |      -2.80428 |       0.02233 |       0.02278 |       0.02278 |      -3.22711 |       0.02621 |       0.02621 |      29.92000 |      16.90461 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |      28.69407 |      14.48817 |      14.48817 |       0.96091 |     660.83002 |       0.00000 |      32.14273 |     -90.58379 |       0.11716 |     180.00000 |      49.52057 |       0.03712 |     911.25006 |     911.25006 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
      8.73657 |       4.06808 |       4.06808 |       0.00000 |      17.54955 |      12.54955 |     510.66623 |      -1.02065 |       0.00083 |       0.00085 |       0.00085 |      -1.17454 |       0.00098 |       0.00098 |      29.92000 |      16.90461 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |      28.69407 |      14.48818 |      14.48818 |       0.96091 |     660.83002 |       0.00000 |      32.14273 |      89.42632 |      -0.12428 |     180.00000 |      -2.50201 |       0.02888 |     911.25006 |     911.25006 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
      9.75147 |       5.07367 |       5.07367 |       0.00000 |      17.54984 |      12.54984 |     510.66623 |      -0.38625 |       0.00006 |       0.00006 |       0.00006 |      -0.44449 |       0.00007 |       0.00007 |      29.92000 |      16.90461 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |      28.69407 |      14.48818 |      14.48818 |       0.96091 |     660.83002 |       0.00000 |      32.14273 |     -90.57539 |       0.12765 |     180.00000 |       0.18310 |       0.02269 |     911.22406 |     911.25006 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
     10.75904 |       6.09420 |       6.09420 |       0.00000 |      17.55012 |      12.55012 |     510.66623 |      -0.38625 |       0.00006 |       0.00006 |       0.00006 |      -0.44449 |       0.00007 |       0.00007 |      29.92000 |      16.90461 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |      28.69407 |      14.48818 |      14.48818 |       0.96091 |     660.83002 |       0.00000 |      32.14273 |     -90.57539 |       0.12765 |     180.00000 |       0.18310 |       0.02269 |     911.22406 |     911.25006 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
     11.75966 |       7.12099 |       7.12099 |       0.00000 |      17.55039 |      12.55039 |     510.66623 |      -0.38625 |       0.00006 |       0.00006 |       0.00006 |      -0.44449 |       0.00007 |       0.00007 |      29.92000 |      16.90461 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |      28.69407 |      14.48818 |      14.48818 |       0.96091 |     660.83002 |       0.00000 |      32.14273 |     -90.57539 |       0.12765 |     180.00000 |       0.18310 |       0.02269 |     911.22406 |     911.25006 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
     12.76028 |       8.10691 |       8.10691 |       0.00000 |      17.55067 |      12.55067 |     510.66623 |      -0.38625 |       0.00006 |       0.00006 |       0.00006 |      -0.44449 |       0.00007 |       0.00007 |      29.92000 |      16.90461 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |      28.69407 |      14.48818 |      14.48818 |       0.96091 |     660.83002 |       0.00000 |      32.14273 |     -90.57539 |       0.12765 |     180.00000 |       0.18310 |       0.02269 |     911.22406 |     911.25006 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
     13.75135 |       9.05046 |       9.05046 |       0.00000 |      17.55094 |      12.55094 |     510.66623 |      -0.19738 |       0.00005 |       0.00006 |       0.00006 |      -0.22714 |       0.00006 |       0.00006 |      29.92000 |      16.90461 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |      28.69407 |      14.48818 |      14.48818 |       0.96091 |     660.83002 |       0.00000 |      32.14273 |     -90.57645 |       0.12899 |     180.00000 |       0.16364 |       0.01920 |     911.18488 |     911.21008 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
