  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   SLprs,_inHG |   SLtmp,_degC |   _wind,speed |   _wind,__dir |   __trb,_locl |   _prec,_locl |   _hail,_locl |   AMprs,_inHG |   AMtmp,_degC |   LEtmp,_degC |   _dens,ratio |   ____A,_ktas |   ____Q,__psf |   gravi,_fts2 |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   _fuel,_1_lb |   _fuel,_2_lb |   _fuel,_3_lb |   _fuel,_4_lb |   _fuel,_5_lb |   _fuel,_6_lb |   _fuel,_7_lb |   _fuel,_8_lb | 
     62.77987 |      66.33896 |       0.02492 |       0.00000 |      20.11641 |      15.11641 |      75.62487 |      -0.00003 |       0.31181 |       0.31404 |       0.31404 |      -0.00004 |       0.36139 |       0.36139 |      29.92000 |      15.56367 |       0.00000 |     180.00000 |       0.00000 |       0.00000 |       0.00000 |      29.45913 |      14.69880 |      14.69880 |       0.98581 |     661.07184 |       0.00033 |      32.14515 |     -88.46572 |      -0.04474 |     180.00000 |      86.45806 |      -0.00006 |     911.25006 |     911.25006 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
     65.68842 |      67.00459 |       0.69055 |       0.00000 |      20.11774 |      15.11774 |      75.62517 |      -0.00003 |       0.12098 |       0.12184 |       0.12184 |      -0.00003 |       0.14022 |       0.14022 |      29.92000 |      15.56367 |       0.00000 |     180.00000 |       0.00000 |       0.00000 |       0.00000 |      29.45859 |      14.69773 |      14.69773 |       0.98579 |     661.07068 |       0.00005 |      32.14515 |      89.39845 |       0.42081 |     180.00000 |     -80.93565 |       0.02847 |     911.25006 |     911.25006 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
     66.68613 |      68.00499 |       1.69093 |       0.00000 |      20.11808 |      15.11808 |      75.62538 |      -0.00003 |       0.01300 |       0.01309 |       0.01309 |      -0.00003 |       0.01506 |       0.01506 |      29.92000 |      15.56367 |       0.00000 |     180.00000 |       0.00000 |       0.00000 |       0.00000 |      29.45854 |      14.69763 |      14.69763 |       0.98579 |     661.07056 |       0.00000 |      32.14515 |      89.84359 |       0.39266 |     180.00000 |     -33.95657 |       0.02234 |     911.25006 |     911.20648 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
     67.67786 |      68.99523 |       2.68122 |       0.00000 |      20.11839 |      15.11839 |      75.62567 |      -0.00003 |       0.00011 |       0.00011 |       0.00011 |      -0.00003 |       0.00013 |       0.00013 |      29.92000 |      15.56367 |       0.00000 |     180.00000 |       0.00000 |       0.00000 |       0.00000 |      29.45854 |      14.69763 |      14.69763 |       0.98579 |     661.07056 |       0.00000 |      32.14515 |      89.86456 |       0.36978 |     180.00000 |      -0.32965 |       0.01743 |     911.25006 |     911.16345 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
     68.67857 |      69.99496 |       3.68093 |       0.00000 |      20.11867 |      15.11867 |      75.62618 |      -0.00003 |       0.00022 |       0.00022 |       0.00022 |      -0.00003 |       0.00025 |       0.00025 |      29.92000 |      15.56367 |       0.00000 |     180.00000 |       0.00000 |       0.00000 |       0.00000 |      29.45854 |      14.69763 |      14.69763 |       0.98579 |     661.07056 |       0.00000 |      32.14515 |      89.86675 |       0.36070 |     180.00000 |      -0.64280 |       0.01357 |     911.25006 |     911.12079 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
     69.68489 |      71.00103 |       4.68704 |       0.00000 |      20.11895 |      15.11895 |      75.62659 |      -0.00003 |       0.00010 |       0.00010 |       0.00010 |      -0.00003 |       0.00011 |       0.00011 |      29.92000 |      15.56367 |       0.00000 |     180.00000 |       0.00000 |       0.00000 |       0.00000 |      29.45854 |      14.69763 |      14.69763 |       0.98579 |     661.07056 |       0.00000 |      32.14515 |      89.86845 |       0.35699 |     180.00000 |      -0.29419 |       0.01055 |     911.25006 |     911.03638 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
     70.68270 |      71.99970 |       5.68570 |       0.00000 |      20.11923 |      15.11923 |      75.62705 |      -0.00003 |       0.00001 |       0.00001 |       0.00001 |      -0.00003 |       0.00002 |       0.00002 |      29.92000 |      15.56367 |       0.00000 |     180.00000 |       0.00000 |       0.00000 |       0.00000 |      29.45854 |      14.69763 |      14.69763 |       0.98579 |     661.07056 |       0.00000 |      32.14515 |     -90.13040 |      -0.35517 |     180.00000 |       0.04188 |       0.00821 |     911.25006 |     910.99445 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
     71.67483 |      72.99161 |       6.67760 |       0.00000 |      20.11950 |      15.11950 |      75.62758 |      -0.00003 |       0.00000 |       0.00000 |       0.00000 |      -0.00003 |       0.00000 |       0.00000 |      29.92000 |      15.56367 |       0.00000 |     180.00000 |       0.00000 |       0.00000 |       0.00000 |      29.45854 |      14.69763 |      14.69763 |       0.98579 |     661.07056 |       0.00000 |      32.14515 |     -90.13027 |      -0.35413 |     180.00000 |       0.00862 |       0.00641 |     911.25006 |     910.99445 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
     72.68201 |      74.00072 |       7.68670 |       0.00000 |      20.11978 |      15.11978 |      75.62809 |      -0.00003 |       0.00004 |       0.00004 |       0.00004 |      -0.00003 |       0.00005 |       0.00005 |      29.92000 |      15.56367 |       0.00000 |     180.00000 |       0.00000 |       0.00000 |       0.00000 |      29.45854 |      14.69763 |      14.69763 |       0.98579 |     661.07056 |       0.00000 |      32.14515 |      89.86985 |       0.35358 |     180.00000 |      -0.11625 |       0.00497 |     911.25006 |     910.95227 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
     73.67601 |      74.99267 |       8.67864 |       0.00000 |      20.12006 |      15.12006 |      75.62845 |      -0.00003 |       0.00002 |       0.00002 |       0.00002 |      -0.00003 |       0.00002 |       0.00002 |      29.92000 |      15.56367 |       0.00000 |     180.00000 |       0.00000 |       0.00000 |       0.00000 |      29.45854 |      14.69763 |      14.69763 |       0.98579 |     661.07056 |       0.00000 |      32.14515 |     -90.13011 |      -0.35323 |     180.00000 |       0.05449 |       0.00388 |     911.25006 |     910.90997 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
