
  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   SLprs,_inHG |   SLtmp,_degC |   _wind,speed |   _wind,__dir |   __trb,_locl |   _prec,_locl |   _hail,_locl |   AMprs,_inHG |   AMtmp,_degC |   LEtmp,_degC |   _dens,ratio |   ____A,_ktas |   ____Q,__psf |   gravi,_fts2 |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   _fuel,_1_lb |   _fuel,_2_lb |   _fuel,_3_lb |   _fuel,_4_lb |   _fuel,_5_lb |   _fuel,_6_lb |   _fuel,_7_lb |   _fuel,_8_lb | 
      0.02631 |       0.03327 |       0.03327 |       0.00000 |       4.79392 |      23.79391 |     639.27124 |      -1.97472 |       0.48532 |       0.48650 |       0.48650 |      -2.27246 |       0.55986 |       0.55986 |      29.92000 |      15.85638 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.84944 |      15.77684 |      15.77684 |       0.99514 |     662.30865 |       0.00080 |      32.14637 |     -85.66180 |      -0.30316 |      78.87060 |      87.18707 |       0.00000 |     911.25006 |     911.25006 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
      5.24345 |       0.95321 |       0.95321 |       0.00000 |       4.79417 |      23.79417 |     639.27124 |       0.05471 |       1.38554 |       1.38893 |       1.38893 |       0.06295 |       1.59835 |       1.59835 |      29.92000 |      15.85638 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.84888 |      15.77571 |      15.77595 |       0.99513 |     662.30731 |       0.00650 |      32.14637 |      -0.05970 |      -0.46867 |      75.61601 |       1.04792 |      -0.03106 |     911.25006 |     911.25006 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
      6.25735 |       1.96622 |       1.96622 |       0.00000 |       4.79445 |      23.79445 |     639.27124 |       1.05074 |       1.52650 |       1.53023 |       1.53023 |       1.20917 |       1.76095 |       1.76096 |      29.92000 |      15.85638 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.84891 |      15.77576 |      15.77608 |       0.99513 |     662.30737 |       0.00790 |      32.14637 |      -0.68316 |      -0.19875 |      75.11165 |       0.62681 |      -0.02273 |     911.25006 |     911.25006 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
      7.27684 |       2.98439 |       2.98439 |       0.00000 |       4.79474 |      23.79473 |     639.27124 |       0.99200 |       1.07628 |       1.07891 |       1.07891 |       1.14157 |       1.24159 |       1.24159 |      29.92000 |      15.85638 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.84887 |      15.77568 |      15.77584 |       0.99513 |     662.30725 |       0.00393 |      32.14637 |      -2.63177 |      -0.01202 |      74.88072 |       2.29934 |      -0.02560 |     911.25006 |     911.25006 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
      8.29352 |       4.00260 |       4.00260 |       0.00000 |       4.79502 |      23.79502 |     639.27124 |      -0.03415 |       0.01397 |       0.01400 |       0.01400 |      -0.03930 |       0.01611 |       0.01611 |      29.92000 |      15.85638 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.84886 |      15.77567 |      15.77567 |       0.99513 |     662.30725 |       0.00000 |      32.14637 |     -90.33527 |       0.24679 |     180.00000 |      35.76081 |      -0.02073 |     911.25006 |     911.25006 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
      8.87968 |       4.56001 |       4.56001 |       0.00000 |       4.79517 |      23.79517 |     639.27124 |      -0.01927 |       0.00277 |       0.00278 |       0.00278 |      -0.02218 |       0.00320 |       0.00320 |      29.92000 |      15.85638 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.84886 |      15.77567 |      15.77567 |       0.99513 |     662.30725 |       0.00000 |      32.14637 |     -90.31271 |       0.24915 |     180.00000 |       8.14217 |      -0.01802 |     911.25006 |     911.25006 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
     11.80792 |       4.92422 |       4.92422 |       0.00000 |       4.79528 |      23.79528 |     639.27124 |      -0.01326 |       0.00199 |       0.00199 |       0.00199 |      -0.01526 |       0.00229 |       0.00229 |      29.92000 |      15.85638 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.84886 |      15.77567 |      15.77567 |       0.99513 |     662.30725 |       0.00000 |      32.14637 |      89.67992 |      -0.25018 |     180.00000 |      -5.85205 |      -0.01644 |     911.25006 |     911.25006 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
     12.85363 |       6.05439 |       6.05439 |       0.00000 |       4.79558 |      23.79558 |     639.27124 |      -0.01128 |       0.00058 |       0.00058 |       0.00058 |      -0.01298 |       0.00067 |       0.00067 |      29.92000 |      15.85638 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.84886 |      15.77567 |      15.77567 |       0.99513 |     662.30725 |       0.00000 |      32.14637 |      89.68260 |      -0.25061 |     180.00000 |      -1.70860 |      -0.01580 |     911.25006 |     911.25006 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
     13.85992 |       7.06069 |       7.06069 |       0.00000 |       4.79585 |      23.79585 |     639.27124 |      -0.01128 |       0.00058 |       0.00058 |       0.00058 |      -0.01298 |       0.00067 |       0.00067 |      29.92000 |      15.85638 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.84886 |      15.77567 |      15.77567 |       0.99513 |     662.30725 |       0.00000 |      32.14637 |      89.68260 |      -0.25061 |     180.00000 |      -1.70860 |      -0.01580 |     911.25006 |     911.25006 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
     14.80049 |       7.87166 |       7.87166 |       0.00000 |       4.79608 |      23.79608 |     639.27124 |      -0.00988 |       0.00042 |       0.00042 |       0.00042 |      -0.01136 |       0.00048 |       0.00048 |      29.92000 |      15.85638 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.84886 |      15.77567 |      15.77567 |       0.99513 |     662.30725 |       0.00000 |      32.14637 |      89.68299 |      -0.25107 |     180.00000 |      -1.23435 |      -0.01529 |     911.25006 |     911.25006 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
     15.82253 |       8.83384 |       8.83384 |       0.00000 |       4.79634 |      23.79634 |     639.27124 |      -0.00368 |       0.00018 |       0.00018 |       0.00018 |      -0.00423 |       0.00020 |       0.00020 |      29.92000 |      15.85638 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.84886 |      15.77567 |      15.77567 |       0.99513 |     662.30725 |       0.00000 |      32.14637 |     -90.31921 |       0.25250 |     180.00000 |       0.52189 |      -0.01200 |     911.25006 |     911.25006 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
     16.80424 |       9.67496 |       9.67496 |       0.00000 |       4.79658 |      23.79658 |     639.27124 |      -0.00155 |       0.00061 |       0.00061 |       0.00061 |      -0.00178 |       0.00070 |       0.00070 |      29.92000 |      15.85638 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.84886 |      15.77567 |      15.77567 |       0.99513 |     662.30725 |       0.00000 |      32.14637 |      89.68336 |      -0.25338 |     180.00000 |      -1.80250 |      -0.00971 |     911.25006 |     911.25006 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
     17.83282 |      10.56968 |      10.56968 |       0.00000 |       4.79683 |      23.79683 |     639.27124 |      -0.00062 |       0.00014 |       0.00014 |       0.00014 |      -0.00071 |       0.00016 |       0.00016 |      29.92000 |      15.85638 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.84886 |      15.77567 |      15.77567 |       0.99513 |     662.30725 |       0.00000 |      32.14637 |      89.68372 |      -0.25399 |     180.00000 |      -0.40366 |      -0.00775 |     911.25006 |     911.25006 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
     18.86066 |      11.56766 |      11.56766 |       0.00000 |       4.79710 |      23.79711 |     639.27124 |      -0.00022 |       0.00056 |       0.00056 |       0.00056 |      -0.00026 |       0.00064 |       0.00064 |      29.92000 |      15.85638 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.84886 |      15.77567 |      15.77567 |       0.99513 |     662.30725 |       0.00000 |      32.14637 |      89.68324 |      -0.25449 |     180.00000 |      -1.63945 |      -0.00603 |     911.25006 |     911.25006 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
     19.87403 |      12.56522 |      12.56522 |       0.00000 |       4.79738 |      23.79738 |     639.27124 |      -0.00008 |       0.00044 |       0.00044 |       0.00044 |      -0.00009 |       0.00051 |       0.00051 |      29.92000 |      15.85638 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.84886 |      15.77567 |      15.77567 |       0.99513 |     662.30725 |       0.00000 |      32.14637 |      89.68147 |      -0.25484 |     180.00000 |      -1.30945 |      -0.00469 |     911.25006 |     911.25006 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
     20.93261 |      13.70832 |      13.70832 |       0.00000 |       4.79770 |      23.79770 |     639.27124 |      -0.00006 |       0.00050 |       0.00050 |       0.00050 |      -0.00007 |       0.00057 |       0.00057 |      29.92000 |      15.85638 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.84886 |      15.77567 |      15.77567 |       0.99513 |     662.30725 |       0.00000 |      32.14637 |      89.68147 |      -0.25492 |     180.00000 |      -1.46693 |      -0.00433 |     911.25006 |     911.25006 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
     21.93892 |      14.71463 |      14.71463 |       0.00000 |       4.79797 |      23.79796 |     639.27124 |      -0.00006 |       0.00050 |       0.00050 |       0.00050 |      -0.00007 |       0.00057 |       0.00057 |      29.92000 |      15.85638 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.84886 |      15.77567 |      15.77567 |       0.99513 |     662.30725 |       0.00000 |      32.14637 |      89.68147 |      -0.25492 |     180.00000 |      -1.46693 |      -0.00433 |     911.25006 |     911.25006 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
     22.94395 |      15.72594 |      15.72594 |       0.00000 |       4.79824 |      23.79824 |     639.27124 |      -0.00006 |       0.00050 |       0.00050 |       0.00050 |      -0.00007 |       0.00057 |       0.00057 |      29.92000 |      15.85638 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.84886 |      15.77567 |      15.77567 |       0.99513 |     662.30725 |       0.00000 |      32.14637 |      89.68147 |      -0.25492 |     180.00000 |      -1.46693 |      -0.00433 |     911.25006 |     911.25006 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
     23.91902 |      16.71581 |      16.71581 |       0.00000 |       4.79851 |      23.79852 |     639.27124 |      -0.00006 |       0.00037 |       0.00038 |       0.00038 |      -0.00007 |       0.00043 |       0.00043 |      29.92000 |      15.85638 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.84886 |      15.77567 |      15.77567 |       0.99513 |     662.30725 |       0.00000 |      32.14637 |      89.68116 |      -0.25495 |     180.00000 |      -1.10567 |      -0.00432 |     911.25006 |     911.25006 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
     24.92397 |      17.58487 |      17.58487 |       0.00000 |       4.79876 |      23.79876 |     639.27124 |      -0.00002 |       0.00055 |       0.00055 |       0.00055 |      -0.00003 |       0.00063 |       0.00063 |      29.92000 |      15.85638 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.84886 |      15.77567 |      15.77567 |       0.99513 |     662.30725 |       0.00000 |      32.14637 |      89.68110 |      -0.25514 |     180.00000 |      -1.62514 |      -0.00347 |     911.25006 |     911.25006 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
