v,p,t,w,a,h,cruise
0.44961,28.76988,14.64639,39077.00391,-88.46486,1143.80359,0
0.567,28.76911,14.64481,39076.78516,-90.11158,1144.60229,0
0.33428,28.769,14.64459,39076.43359,5.63747,1144.70142,0
1.25018,28.76898,14.64456,39075.94922,1.05989,1144.7135,0
3.81944,28.76897,14.64454,39075.42969,-0.53923,1144.72522,0
6.78327,28.76897,14.64453,39075.17578,-0.84164,1144.73169,0
6.78327,28.76897,14.64453,39075.17578,-0.84164,1144.73169,0
6.78327,28.76897,14.64453,39075.17578,-0.84164,1144.73169,0
6.78327,28.76897,14.64453,39075.17578,-0.84164,1144.73169,0
8.12724,28.76896,14.64452,39074.94141,-0.8298,1144.73572,0
11.23552,28.76899,14.64458,39074.46875,-0.92173,1144.70764,0
14.2772,28.76903,14.64465,39073.98438,-0.84973,1144.66992,0
17.28811,28.76905,14.64471,39073.50781,-0.86548,1144.64368,0
20.19567,28.76905,14.6447,39073.02734,-0.61079,1144.64758,0
23.03999,28.76899,14.64458,39072.56641,-0.75952,1144.70825,0
25.82588,28.76891,14.64442,39072.09766,-0.81758,1144.78992,0
28.41015,28.76889,14.64437,39071.63281,-0.76954,1144.81128,0
30.88272,28.76894,14.64447,39071.16016,-0.67364,1144.76147,0
33.22945,28.76894,14.64447,39070.71484,-0.74199,1144.76294,0
35.66638,28.76884,14.64427,39070.27344,-0.7587,1144.86389,0
38.13705,28.76885,14.64429,39069.82031,-0.7396,1144.85266,0
40.60968,28.76895,14.64449,39069.36328,-0.6569,1144.75281,0
380.44006,28.76717,14.64087,39068.90234,-0.36756,1146.77295,0
377.16782,28.74968,14.6053,39068.67969,-0.14644,1165.04712,0
367.20602,27.75627,12.57286,39068.48438,-0.14494,2192.5354,0
361.17276,24.91159,6.62056,39068.30469,-0.16007,5202.02051,0
355.74301,23.95079,4.56322,39068.05469,0.08354,6242.01709,0
352.39108,20.39736,-3.35754,39067.73828,-0.26767,10246.98535,0
348.94382,20.3803,-3.40431,39067.40234,-0.12684,10270.93945,0
345.88684,18.24087,-9.37557,39067.07422,-0.23608,13289.74902,0
343.21198,17.54053,-11.37804,39066.76172,-0.09086,14302.2002,0
340.8812,16.85254,-13.36956,39066.47266,-0.02292,15309.28027,0
338.05701,16.8367,-13.41569,39066.16797,-0.28178,15332.77148,0
334.90237,16.818,-13.47018,39065.86719,-4.53022,15360.09961,0
333.01718,16.82724,-13.44326,39065.55859,-0.91692,15346.12402,0
331.9425,16.84471,-13.39236,39065.26953,-1.35114,15320.31738,0
331.1011,16.86666,-13.32842,39064.96484,-1.28832,15287.94141,0
330.45471,16.89169,-13.25556,39064.67188,-1.07706,15251.05371,0
329.87555,16.91733,-13.18095,39064.37891,-0.80226,15213.35742,0
329.20816,16.94098,-13.11216,39064.07812,-0.58442,15178.6123,0
328.38864,16.96149,-13.05251,39063.76172,-0.48011,15148.51465,0
327.33453,16.97702,-13.00738,39063.46094,-0.39089,15125.79297,0
326.02505,16.98697,-12.97847,39063.16797,-0.46543,15111.25879,0
324.51123,16.99217,-12.96336,39062.85547,-0.42924,15103.68945,0
322.78943,16.99297,-12.96104,39062.54297,-0.51187,15102.57715,0
320.9137,16.98997,-12.96977,39062.25,-0.35885,15107.05664,0
318.83356,16.98232,-12.99198,39061.94141,-0.3209,15118.36816,0
316.59338,16.971,-13.02486,39061.64062,-0.68758,15135.01758,0
314.34039,16.95883,-13.06026,39061.32812,-0.57124,15152.93262,0
312.05563,16.9454,-13.09929,39061.02344,-0.56383,15172.6875,0
309.75821,16.93112,-13.14083,39060.72266,-0.54625,15193.70605,0
307.43433,16.91609,-13.18455,39060.40625,-0.5525,15215.81152,0
305.12778,16.90075,-13.22919,39060.11719,-0.52755,15238.38672,0
302.85666,16.8854,-13.27386,39059.8125,-0.51012,15260.98047,0
300.62314,16.87021,-13.31807,39059.51953,-0.50789,15283.30566,0
298.44818,16.8556,-13.36062,39059.21094,-0.52115,15304.82031,0
296.35117,16.84195,-13.40038,39058.91797,-0.51505,15324.90918,0
294.35446,16.82962,-13.43632,39058.60938,-0.52311,15343.05566,0
292.46655,16.8189,-13.46754,39058.30859,-0.56445,15358.80664,0
290.72552,16.81039,-13.49236,39057.99219,-0.5659,15371.31836,0
289.15393,16.80446,-13.50965,39057.69141,-0.57417,15380.01367,0
289.13864,16.80441,-13.50978,39057.69141,-0.57408,15380.08105,0
288.19061,16.80207,-13.51661,39057.54297,-0.42755,15383.52148,0
286.84387,16.79961,-13.5238,39057.23438,-0.02576,15387.14746,0
