#a,b,type
:2016-07-04 200001000-0500:1.0,1.98315796914,1
:2016-07-04 200002000-0500:1.0,1.98412304974,1
:2016-07-04 200003000-0500:1.0,1.96898977298,1
:2016-07-04 200004000-0500:1.0,2.06288103215,1
:2016-07-04 200005000-0500:1.0,1.93195576008,1
:2016-07-04 200006000-0500:1.0,1.92592623881,1
:2016-07-04 200007000-0500:1.0,2.04197489142,1
:2016-07-04 200008000-0500:1.0,1.96305052914,1
:2016-07-04 200009000-0500:1.0,1.96267888874,1
:2016-07-04 200010000-0500:1.0,2.03979955591,1
:2016-07-04 200011000-0500:1.0,2.00643095716,1
:2016-07-04 200012000-0500:1.0,1.82642939376,1
:2016-07-04 200013000-0500:1.0,1.94123237893,1
:2016-07-04 200014000-0500:1.0,1.89886123546,1
:2016-07-04 200015000-0500:1.0,1.99367255884,1
:2016-07-04 200016000-0500:1.0,1.9853567021,1
:2016-07-04 200017000-0500:1.0,1.98060326755,1
:2016-07-04 200018000-0500:1.0,2.12934065467,1
:2016-07-04 200019000-0500:1.0,1.89664703061,1
:2016-07-04 200020000-0500:1.0,1.92912442121,1
:2016-07-04 200021000-0500:1.0,2.05912990371,1
:2016-07-04 200022000-0500:1.0,2.11251113152,1
:2016-07-04 200023000-0500:1.0,1.99122930876,1
:2016-07-04 200024000-0500:1.0,2.07037036315,1
:2016-07-04 200025000-0500:1.0,2.0069957677,1
:2016-07-04 200026000-0500:1.0,1.85396774813,1
:2016-07-04 200027000-0500:1.0,2.09504993495,1
:2016-07-04 200028000-0500:1.0,1.9693961036,1
:2016-07-04 200029000-0500:1.0,2.03781780962,1
:2016-07-04 200030000-0500:1.0,1.9756341253,1
:2016-07-04 200031000-0500:1.0,1.8963573042,1
:2016-07-04 200032000-0500:1.0,1.89897653166,1
:2016-07-04 200033000-0500:1.0,2.1188065069,1
:2016-07-04 200034000-0500:1.0,1.94731953237,1
:2016-07-04 200035000-0500:1.0,2.07079439551,1
:2016-07-04 200036000-0500:1.0,2.02593330681,1
:2016-07-04 200037000-0500:1.0,1.93386373269,1
:2016-07-04 200038000-0500:1.0,2.13480655419,1
:2016-07-04 200039000-0500:1.0,1.91875814281,1
:2016-07-04 200040000-0500:1.0,2.03346774614,1
:2016-07-04 200041000-0500:1.0,1.9491267283,1
:2016-07-04 200042000-0500:1.0,2.1124339706,1
:2016-07-04 200043000-0500:1.0,1.930763114,1
:2016-07-04 200044000-0500:1.0,1.97482352278,1
:2016-07-04 200045000-0500:1.0,1.90048670265,1
:2016-07-04 200046000-0500:1.0,2.05130086749,1
:2016-07-04 200047000-0500:1.0,1.96974206158,1
:2016-07-04 200048000-0500:1.0,2.05402056834,1
:2016-07-04 200049000-0500:1.0,2.04566051325,1
:2016-07-04 200050000-0500:1.0,2.00712400367,1
:2016-07-04 200051000-0500:1.0,1.81043015083,1
:2016-07-04 200052000-0500:1.0,2.09354275774,1
:2016-07-04 200053000-0500:1.0,2.14398378146,1
:2016-07-04 200054000-0500:1.0,2.17247807082,1
:2016-07-04 200055000-0500:1.0,1.94438069582,1
:2016-07-04 200056000-0500:1.0,1.94605702142,1
:2016-07-04 200057000-0500:1.0,2.08350926838,1
:2016-07-04 200058000-0500:1.0,2.00347608423,1
:2016-07-04 200059000-0500:1.0,2.01977127972,1
:2016-07-04 200100000-0500:1.0,1.95316346104,1
:2016-07-04 200101000-0500:1.0,2.03607508858,1
:2016-07-04 200102000-0500:1.0,2.0304954047,1
:2016-07-04 200103000-0500:1.0,1.93512774868,1
:2016-07-04 200104000-0500:1.0,1.96853344106,1
:2016-07-04 200105000-0500:1.0,2.13796037546,1
:2016-07-04 200106000-0500:1.0,2.0964994891,1
:2016-07-04 200107000-0500:1.0,1.8879021472,1
:2016-07-04 200108000-0500:1.0,1.87577023005,1
:2016-07-04 200109000-0500:1.0,1.9757246272,1
:2016-07-04 200110000-0500:1.0,1.9969863801,1
:2016-07-04 200111000-0500:1.0,2.04822951277,1
:2016-07-04 200112000-0500:1.0,2.08611786251,1
:2016-07-04 200113000-0500:1.0,2.15505131308,1
:2016-07-04 200114000-0500:1.0,1.93532169164,1
:2016-07-04 200115000-0500:1.0,2.07895257014,1
:2016-07-04 200116000-0500:1.0,2.03498140565,1
:2016-07-04 200117000-0500:1.0,2.10219458841,1
:2016-07-04 200118000-0500:1.0,2.111197841,1
:2016-07-04 200119000-0500:1.0,1.98030991388,1
:2016-07-04 200120000-0500:1.0,2.09362091279,1
:2016-07-04 200121000-0500:1.0,2.14106795264,1
:2016-07-04 200122000-0500:1.0,2.12029242315,1
:2016-07-04 200123000-0500:1.0,2.10927878347,1
:2016-07-04 200124000-0500:1.0,2.07801648901,1
:2016-07-04 200125000-0500:1.0,2.12234709079,1
:2016-07-04 200126000-0500:1.0,1.91517196828,1
:2016-07-04 200127000-0500:1.0,2.08135646048,1
:2016-07-04 200128000-0500:1.0,2.0401585332,1
:2016-07-04 200129000-0500:1.0,1.95023038056,1
:2016-07-04 200130000-0500:1.0,1.9277183898,1
:2016-07-04 200131000-0500:1.0,1.98247538701,1
:2016-07-04 200132000-0500:1.0,2.02780405874,1
:2016-07-04 200133000-0500:1.0,1.87908207658,1
:2016-07-04 200134000-0500:1.0,1.79071420892,1
:2016-07-04 200135000-0500:1.0,2.10249811642,1
:2016-07-04 200136000-0500:1.0,1.75347347416,1
:2016-07-04 200137000-0500:1.0,1.90398724205,1
:2016-07-04 200138000-0500:1.0,2.12837184708,1
:2016-07-04 200139000-0500:1.0,2.16067438419,1
:2016-07-04 200140000-0500:1.0,1.89149884012,1
:2016-07-04 200141000-0500:1.0,1.94600595705,1
:2016-07-04 200142000-0500:1.0,2.09742190671,1
:2016-07-04 200143000-0500:1.0,1.91045139325,1
:2016-07-04 200144000-0500:1.0,1.8209995959,1
:2016-07-04 200145000-0500:1.0,1.96964502874,1
:2016-07-04 200146000-0500:1.0,1.95445021265,1
:2016-07-04 200147000-0500:1.0,1.86886509827,1
:2016-07-04 200148000-0500:1.0,2.1211821225,1
:2016-07-04 200149000-0500:1.0,1.93640468849,1
:2016-07-04 200150000-0500:1.0,1.91631066866,1
:2016-07-04 200151000-0500:1.0,1.91009959847,1
:2016-07-04 200152000-0500:1.0,1.82584673194,1
:2016-07-04 200153000-0500:1.0,2.11187666102,1
:2016-07-04 200154000-0500:1.0,1.97321918076,1
:2016-07-04 200155000-0500:1.0,1.99807557715,1
:2016-07-04 200156000-0500:1.0,1.95105141029,1
:2016-07-04 200157000-0500:1.0,2.15393767747,1
:2016-07-04 200158000-0500:1.0,2.08057232759,1
:2016-07-04 200159000-0500:1.0,1.97325049223,1
:2016-07-04 200200000-0500:1.0,2.01170956208,1
:2016-07-04 200201000-0500:1.0,2.09325584879,1
:2016-07-04 200202000-0500:1.0,2.06301065321,1
