Vtrue_ktas,AMprs_inHG,AMtmp_degC,curnt___lb,alpha__deg
262.43356,24.04518,4.76642,38609.89844,-0.45172
262.26935,24.04538,4.76687,38609.16406,-0.44767
262.10727,24.04557,4.76726,38608.42578,-0.44482
261.95172,24.04573,4.76762,38607.68359,-0.44077
261.79416,24.04587,4.76792,38606.94922,-0.43838
261.64035,24.04599,4.76818,38606.20703,-0.43478
261.48672,24.04609,4.7684,38605.46875,-0.43234
261.3382,24.04618,4.76858,38604.73047,-0.42895
261.18985,24.04625,4.76874,38603.99219,-0.42729
261.04364,24.04631,4.76888,38603.25391,-0.42309
260.90057,24.04637,4.76899,38602.51953,-0.4216
260.76089,24.04642,4.7691,38601.77734,-0.4184
260.62231,24.04646,4.7692,38601.03906,-0.41433
260.4866,24.0465,4.76927,38600.30078,-0.41268
260.35321,24.04653,4.76933,38599.56641,-0.41001
260.22308,24.04655,4.76938,38598.82812,-0.40653
260.09146,24.04656,4.76941,38598.09375,-0.4045
259.96725,24.04658,4.76944,38597.35156,-0.40155
259.84341,24.04659,4.76946,38596.60938,-0.39998
259.72116,24.04659,4.76947,38595.87109,-0.39712
259.603,24.0466,4.76948,38595.13281,-0.39469
259.48599,24.0466,4.76949,38594.39453,-0.39178
259.36765,24.0466,4.76949,38593.65625,-0.38921
259.25494,24.0466,4.76948,38592.91797,-0.38701
259.14557,24.04659,4.76947,38592.17578,-0.38488
259.03748,24.04659,4.76945,38591.4375,-0.3825
258.9325,24.04658,4.76943,38590.69922,-0.38044
258.82971,24.04656,4.76941,38589.96094,-0.37831
258.72864,24.04655,4.76938,38589.21875,-0.37604
258.62674,24.04653,4.76934,38588.48047,-0.37388
258.52811,24.04651,4.76931,38587.74219,-0.37204
258.43207,24.0465,4.76928,38587.00391,-0.36996
258.33749,24.04649,4.76925,38586.26953,-0.36808
258.24298,24.04647,4.76921,38585.53125,-0.36547
258.15256,24.04645,4.76917,38584.79688,-0.36479
258.06314,24.04644,4.76914,38584.05469,-0.36241
257.97784,24.04642,4.76911,38583.32031,-0.36048
257.88937,24.04641,4.76908,38582.57812,-0.35854
257.80627,24.0464,4.76905,38581.83984,-0.35655
257.7222,24.04638,4.76902,38581.10547,-0.35458
257.64066,24.04636,4.76898,38580.36719,-0.35302
257.56192,24.04635,4.76895,38579.62891,-0.35135
257.48581,24.04633,4.76891,38578.88672,-0.34993
257.4072,24.04631,4.76888,38578.14844,-0.34825
257.33392,24.0463,4.76884,38577.40625,-0.34661
257.2605,24.04628,4.7688,38576.67188,-0.34425
257.18842,24.04626,4.76876,38575.92969,-0.34389
257.11588,24.04624,4.76872,38575.19141,-0.34224
257.04767,24.04623,4.76869,38574.45703,-0.34065
256.97995,24.04622,4.76866,38573.71875,-0.33904
256.91269,24.0462,4.76863,38572.98438,-0.33781
256.84818,24.04619,4.7686,38572.24219,-0.33614
256.78461,24.04617,4.76857,38571.50391,-0.33474
256.72168,24.04616,4.76854,38570.76562,-0.33369
256.66159,24.04614,4.76851,38570.03125,-0.33235
256.60327,24.04613,4.76847,38569.29297,-0.33112
256.54477,24.04611,4.76844,38568.55469,-0.33066
256.48703,24.04609,4.7684,38567.81641,-0.32878
256.43103,24.04608,4.76837,38567.08203,-0.32768
256.37469,24.04606,4.76834,38566.33984,-0.32646
256.32077,24.04605,4.76831,38565.60938,-0.32503
256.26581,24.04604,4.76829,38564.86719,-0.32383
256.21429,24.04603,4.76826,38564.13281,-0.32269
256.16425,24.04602,4.76824,38563.39453,-0.32155
256.11307,24.04601,4.76821,38562.65625,-0.3205
256.06345,24.04599,4.76818,38561.91797,-0.31971
256.01611,24.04598,4.76816,38561.17578,-0.3186
255.968,24.04597,4.76813,38560.44141,-0.31749
255.91917,24.04596,4.7681,38559.70312,-0.31672
255.87419,24.04595,4.76808,38558.96875,-0.31562
255.82895,24.04594,4.76806,38558.23047,-0.31442
255.78571,24.04592,4.76803,38557.49219,-0.31442
255.74219,24.04591,4.768,38556.75,-0.31296
255.69934,24.0459,4.76798,38556.01562,-0.31219
255.659,24.04589,4.76797,38555.27734,-0.31095
255.61964,24.04589,4.76795,38554.53906,-0.31007
255.57906,24.04587,4.76793,38553.80078,-0.30927
255.54153,24.04586,4.76791,38553.0625,-0.3086
255.50294,24.04586,4.76789,38552.32422,-0.30756
255.46278,24.04584,4.76786,38551.58203,-0.30692
255.42842,24.04584,4.76784,38550.84766,-0.30618
255.39,24.04583,4.76782,38550.10938,-0.30541
255.35471,24.04582,4.7678,38549.37109,-0.30444
255.32001,24.04581,4.76779,38548.63672,-0.3037
255.28412,24.0458,4.76777,38547.89453,-0.30282
255.25377,24.04579,4.76775,38547.15625,-0.30241
255.2231,24.04578,4.76774,38546.42188,-0.30172
255.19145,24.04578,4.76772,38545.67969,-0.30106
255.15984,24.04577,4.7677,38544.94141,-0.30058
255.12857,24.04576,4.76768,38544.19922,-0.3
255.10069,24.04575,4.76766,38543.46484,-0.29941
255.07062,24.04574,4.76764,38542.72656,-0.29864
255.03906,24.04573,4.76762,38541.98438,-0.29808
255.00916,24.04573,4.76761,38541.24609,-0.29737
254.98184,24.04572,4.7676,38540.50391,-0.29675
254.95334,24.04572,4.76758,38539.76953,-0.29625
254.92854,24.04571,4.76757,38539.02734,-0.29553
254.90149,24.04571,4.76756,38538.28906,-0.2949
254.86287,24.0457,4.76755,38537.55469,-0.29357
254.52136,24.04566,4.76747,38536.95312,-0.28425
254.15271,24.04564,4.76743,38536.375,-0.28124
253.80096,24.04577,4.7677,38535.78516,-0.27207
253.45796,24.04604,4.76828,38535.20312,-0.25846
253.11241,24.0464,4.76907,38534.63281,-0.24422
252.77487,24.0468,4.76992,38534.0625,-0.23112
252.43565,24.04717,4.77071,38533.5,-0.21986
252.09746,24.04748,4.77138,38532.93359,-0.21045
251.76212,24.04772,4.7719,38532.36719,-0.203
251.43077,24.04789,4.77227,38531.79688,-0.19657
251.10403,24.04801,4.77252,38531.23438,-0.19049
250.78017,24.04809,4.77268,38530.66406,-0.18414
250.46179,24.04814,4.7728,38530.09766,-0.1778
250.14761,24.04818,4.77289,38529.52734,-0.17118
249.83734,24.04822,4.77297,38528.96094,-0.16397
249.53255,24.04826,4.77306,38528.39844,-0.15647
249.23517,24.0483,4.77314,38527.82812,-0.14918
248.94034,24.04833,4.77321,38527.26562,-0.14193
248.64922,24.04836,4.77327,38526.69922,-0.1346
248.36681,24.04838,4.77332,38526.13281,-0.1275
248.08852,24.04839,4.77334,38525.5625,-0.12078
247.81163,24.04839,4.77335,38525,-0.11432
247.54402,24.04839,4.77334,38524.42969,-0.10769
247.27863,24.04838,4.77331,38523.86719,-0.10138
247.01813,24.04836,4.77328,38523.29688,-0.09454
246.75954,24.04834,4.77323,38522.73047,-0.08942
246.50533,24.04832,4.77318,38522.16406,-0.08273
246.25984,24.0483,4.77314,38521.59766,-0.07662
246.01784,24.04827,4.77309,38521.03906,-0.07042
245.77785,24.04825,4.77304,38520.75,-0.06436
245.54512,24.04823,4.77299,38520.18359,-0.05833
245.31387,24.0482,4.77293,38519.61719,-0.05257
245.08772,24.04817,4.77286,38519.05469,-0.04694
244.86426,24.04814,4.77279,38518.48438,-0.04119
244.6458,24.0481,4.77272,38517.92188,-0.03574
244.42874,24.04807,4.77265,38517.35156,-0.03024
244.21428,24.04804,4.77258,38516.78516,-0.02468
244.00606,24.048,4.77251,38516.21875,-0.01956
243.80136,24.04797,4.77243,38515.65625,-0.01453
243.59938,24.04793,4.77236,38515.08594,-0.00915
