
  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   AMprs,_inHG |   AMtmp,_degC |   LEtmp,_degC |   _dens,ratio |   ____A,_ktas |   ____Q,__psf |   gravi,_fts2 |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,south |   __lon,_west |   thro1,_part |   thro2,_part |   empty,___lb |   payld,___lb |   _fuel,totlb |   jetti,___lb |   curnt,___lb |   maxim,___lb |   ___cg,ftref |   _lift,___lb |   _drag,___lb |   _side,___lb |   __L/D,ratio |   ___cl,total |   ___cd,total | 
      0.01482 |       0.03039 |       0.03039 |       0.00000 |      22.87038 |      23.87038 |     811.51770 |      -2.94601 |       0.43832 |       0.44030 |       0.44030 |      -3.39020 |       0.50669 |       0.50669 |      29.83018 |      16.79024 |      16.79024 |       0.99102 |     663.46912 |       0.00065 |      32.14631 |     -88.47221 |       0.40008 |      72.86917 |      87.47120 |       0.00000 |      63.45765 |      10.88955 |      59.83727 |       0.01125 |       1.00000 |       0.90666 |      62.00000 |       9.00000 |       0.01175 |       0.01099 |   28550.00195 |    4924.49902 |    5602.50000 |       0.00000 |   39077.00391 |   49604.00000 |       0.00000 |       0.11020 |      -7.70810 |      -0.01456 |      -0.01430 |       0.20633 |     -14.43163 | 
      5.05755 |       1.05125 |       1.05125 |       0.00000 |      22.87065 |      23.87065 |     811.51770 |      -1.06512 |       0.53063 |       0.53304 |       0.53304 |      -1.22572 |       0.61341 |       0.61341 |      29.82941 |      16.78870 |      16.78873 |       0.99100 |     663.46735 |       0.00095 |      32.14630 |     -89.60828 |      -3.96357 |     169.29150 |      87.29288 |       0.07168 |      63.45765 |      10.88955 |      60.61940 |       0.79298 |       1.00000 |      39.30194 |      62.00000 |       9.00000 |       0.63896 |       0.60532 |   28550.00195 |    4924.49902 |    5602.23340 |       0.00000 |   39076.73047 |   49604.00000 |       0.00000 |      -1.79346 |     -34.79839 |      -0.80870 |       0.05154 |      -2.29116 |     -44.45521 | 
      6.05000 |       2.04378 |       2.04378 |       0.00000 |      22.87089 |      23.87089 |     811.51770 |       1.01862 |       1.72209 |       1.72989 |       1.72989 |       1.17221 |       1.99072 |       1.99072 |      29.82927 |      16.78842 |      16.78878 |       0.99100 |     663.46698 |       0.01005 |      32.14630 |       0.09287 |       0.13168 |      89.77937 |      -0.81640 |       0.04281 |      63.45765 |      10.88955 |      60.74714 |       0.92077 |       1.00000 |      52.90308 |      62.00000 |       9.00000 |       0.74212 |       0.72316 |   28550.00195 |    4924.49902 |    5601.58838 |       0.00000 |   39076.08594 |   49604.00000 |       0.00000 |     601.01599 |     -14.96214 |       0.41496 |     -40.16913 |      72.90057 |      -1.81484 | 
      7.05786 |       3.05121 |       3.05121 |       0.00000 |      22.87114 |      23.87114 |     811.51770 |       6.46467 |       6.99701 |       7.02871 |       7.02871 |       7.43941 |       8.08850 |       8.08850 |      29.82924 |      16.78837 |      16.79469 |       0.99100 |     663.46698 |       0.16589 |      32.14630 |      -0.57934 |       0.53361 |      89.46651 |      -0.47635 |       0.13299 |      63.45765 |      10.88960 |      60.77068 |       0.95776 |       1.00000 |      57.93186 |      62.00000 |       9.00000 |       0.78600 |       0.76300 |   28550.00195 |    4924.49902 |    5600.71729 |       0.00000 |   39075.21484 |   49604.00000 |       0.00000 |    1514.66748 |     -40.37890 |       4.05925 |     -37.51136 |      11.12878 |      -0.29668 | 
      8.05476 |       4.04998 |       4.04998 |       0.00000 |      22.87140 |      23.87140 |     811.51770 |      12.38580 |      12.70857 |      12.76614 |      12.76614 |      14.25332 |      14.69101 |      14.69101 |      29.82927 |      16.78842 |      16.80957 |       0.99100 |     663.46704 |       0.54726 |      32.14630 |      -0.81615 |      -0.19282 |      90.32539 |      -0.25381 |       0.46450 |      63.45765 |      10.88970 |      60.74353 |       0.95964 |       1.00000 |      59.70805 |      62.00000 |       9.00000 |       0.78600 |       0.76300 |   28550.00195 |    4924.49902 |    5599.81543 |       0.00000 |   39074.31641 |   49604.00000 |       0.00000 |    1844.41418 |     -31.61957 |      -8.86562 |     -58.33141 |       4.10791 |      -0.07042 | 
     35.25805 |       5.40645 |       5.40645 |       0.00000 |      22.87178 |      23.87178 |     811.51770 |     264.28244 |     265.94336 |     310.57169 |     310.57169 |     304.13080 |     357.39954 |     357.39954 |      20.57437 |      -2.87298 |       9.84348 |       0.73325 |     640.57654 |     239.64896 |      32.11578 |       0.00968 |       0.03969 |      89.95950 |       0.81574 |       0.51056 |      63.45765 |      10.89106 |   10001.99121 |    9942.62988 |       0.00000 |    9937.32520 |      62.00000 |       9.00000 |       0.78600 |       0.76300 |   28550.00195 |    4924.49902 |    5599.34717 |       0.00000 |   39073.84766 |   49604.00000 |       0.00000 |   64859.21094 |    5605.62305 |    -122.43187 |      11.57038 |       0.32987 |       0.02851 | 
     36.26052 |       6.41743 |       6.41743 |       0.00000 |      22.87205 |      23.87205 |     811.51770 |     264.28244 |     265.94336 |     310.57169 |     310.57169 |     304.13080 |     357.39954 |     357.39954 |      20.57437 |      -2.87298 |       9.84348 |       0.73325 |     640.57654 |     239.64896 |      32.11578 |       0.00968 |       0.03969 |      89.95950 |       0.81574 |       0.51056 |      63.45765 |      10.89106 |   10001.99121 |    9942.62988 |       0.00000 |    9937.32520 |      62.00000 |       9.00000 |       0.78600 |       0.76300 |   28550.00195 |    4924.49902 |    5599.34717 |       0.00000 |   39073.84766 |   49604.00000 |       0.00000 |   64859.21094 |    5605.62305 |    -122.43187 |      11.57038 |       0.32987 |       0.02851 | 
     37.25328 |       7.41413 |       7.41413 |       0.00000 |      22.87238 |      23.87238 |     811.51770 |     263.02808 |     261.85022 |     305.86081 |     305.86078 |     302.68732 |     351.97836 |     351.97833 |      20.56263 |      -2.90509 |       9.42287 |       0.73292 |     640.53851 |     232.32886 |      32.11573 |      -0.08999 |      -0.00692 |      90.02869 |       2.56358 |       0.29647 |      63.45764 |      10.89400 |   10018.42188 |    9958.92188 |       0.00000 |    9992.59277 |      62.00000 |       9.00000 |       0.78700 |       0.76200 |   28550.00195 |    4924.49902 |    5599.10400 |       0.00000 |   39073.60547 |   49604.00000 |       0.00000 |   55031.71484 |    4967.10889 |      78.63654 |      11.07922 |       0.28871 |       0.02606 | 
     38.25110 |       8.41203 |       8.41203 |       0.00000 |      22.87271 |      23.87271 |     811.51770 |     260.97812 |     258.65186 |     302.25452 |     302.25449 |     300.32828 |     347.82831 |     347.82828 |      20.54037 |      -2.96595 |       9.07228 |       0.73229 |     640.46637 |     226.68800 |      32.11563 |      -0.10696 |      -0.03792 |      90.12580 |       3.94928 |       0.25900 |      63.45763 |      10.89713 |   10049.34375 |    9989.88574 |       0.00000 |   10039.50488 |      62.00000 |       9.00000 |       0.78500 |       0.76200 |   28550.00195 |    4924.49902 |    5598.76025 |       0.00000 |   39073.26172 |   49604.00000 |       0.00000 |   52066.89062 |    4585.71387 |    -141.13171 |      11.35415 |       0.27995 |       0.02466 | 
     39.24378 |       9.40163 |       9.40163 |       0.00000 |      22.87304 |      23.87304 |     811.51770 |     258.44211 |     255.73373 |     299.01678 |     299.01678 |     297.40988 |     344.10239 |     344.10239 |      20.51049 |      -3.04769 |       8.73420 |       0.73145 |     640.36951 |     221.60182 |      32.11551 |      -0.10897 |      -0.00097 |      90.14014 |       5.14695 |       0.18526 |      63.45762 |      10.90020 |   10090.84668 |   10031.39355 |       1.00000 |   10086.73145 |      62.00000 |       9.00000 |       0.78500 |       0.76400 |   28550.00195 |    4924.49902 |    5598.19971 |       0.00000 |   39072.69531 |   49604.00000 |       0.00000 |   50604.42578 |    4274.85938 |      59.76690 |      11.83768 |       0.27833 |       0.02351 | 
