   true air speed (m/s),   ambient pressure (pascal), ambient temperature ( celsius ),  angle of attack ( radian ),  current total weight ( newton )
123.7459803,64392.57835,265.96011,0.001123294,137676.1274
123.8080428,64389.63219,265.95768,-0.00050091,134116.3091
123.8547389,64384.75579,265.95366,-0.001776571,134114.9798
123.9026079,64379.7778,265.94953,-0.002735281,134112.3126
123.9617072,64376.08663,265.94647,-0.003135136,134109.5933
124.0372019,64374.25798,265.94494,-0.003112098,134106.8653
124.2346763,64375.37549,265.94588,-0.002550451,134101.4353
124.3436562,64377.27187,265.94744,-0.002316402,134098.7073
124.4499351,64379.33757,265.94916,-0.00218812,134095.988
124.5538734,64381.23395,265.95073,-0.00218271,134093.2687
124.6507381,64382.79169,265.95203,-0.002257759,134091.9134
124.7427721,64384.04465,265.95306,-0.002382375,134089.194
124.8321104,64385.0267,265.95387,-0.002511181,134086.5008
124.9163558,64385.80557,265.95451,-0.002637019,134083.7814
124.9977563,64386.48285,265.95506,-0.002749069,134081.1143
125.0780918,64387.0924,265.95557,-0.002830751,134078.4558
125.1553099,64387.66809,265.95606,-0.002902484,134075.7799
125.2312161,64388.24377,265.95653,-0.002967759,134073.1127
125.306222,64388.7856,265.957,-0.003021515,134070.4368
125.3784705,64389.32742,265.95744,-0.003077191,134067.7696
125.4471797,64389.83538,265.95784,-0.003136882,134065.0937
125.5159814,64390.27561,265.95822,-0.003190812,134062.4352
125.5826071,64390.68197,265.95856,-0.003245965,134059.7593
125.6476945,64391.05448,265.95888,-0.003305655,134057.1008
125.7101326,64391.39312,265.95916,-0.003361855,134054.4336
125.7729771,64391.73176,265.95942,-0.003422767,134051.7665
125.8957749,64392.23971,265.95985,-0.0001775,134046.2931
122.965687,64102.33087,265.71956,0.00032498,134032.8875
121.2201065,63906.97003,265.55748,0.001429949,134027.5097
120.3516119,63808.32449,265.47558,0.001101652,134024.7991
119.5034995,63710.89805,265.39464,0.001454383,134022.0885
118.6746325,63614.99548,265.31492,0.002984165,134019.3865
117.8583487,63520.41361,265.23625,0.003658212,134016.7541
117.0615676,63427.01697,265.15856,0.004318645,134014.1043
116.2819431,63335.21194,265.08213,0.00616852,134011.4718
115.4950856,63243.61009,265.00584,0.007828329,134008.8394
114.7035466,63150.99232,264.9287,0.008173206,134006.2156
113.91672,63058.44228,264.85155,0.009866874,134003.5832
113.1156689,62964.70701,264.77338,0.009593381,134000.9594
112.3341822,62871.41196,264.69554,0.010106857,133998.3444
111.5590128,62779.43761,264.61877,0.013345142,133995.7032
107.6941545,62352.75247,264.26217,0.021550288,133985.1734
105.3521379,62105.00418,264.05473,0.023729681,133979.9781
104.1331114,61976.38909,263.94694,0.023182869,133977.3369
102.9084723,61847.06285,263.8385,0.024784908,133974.7479
95.74264811,61043.87887,263.16334,0.035062283,133956.5728
94.939992,60949.7711,263.08406,0.038293762,133953.9577
93.18997183,60756.84846,262.9214,0.044431389,133948.7536
89.67380883,60362.90971,262.58873,0.049325993,133938.415
93.60116178,60248.17882,262.49172,0.046162757,133915.279
97.51963028,60068.59855,262.33978,0.035597751,133875.4015
98.28917677,60098.73742,262.36527,0.038869546,133872.8125
100.0886916,60159.11676,262.41639,0.035822549,133865.0802
100.9714724,60174.38938,262.42932,0.031323961,133859.9282
101.3662875,60178.11441,262.43247,0.029614236,133857.3566
101.747614,60180.68806,262.43464,0.028274346,133854.785
102.1221756,60182.78762,262.43642,0.02729923,133852.2568
102.4947565,60184.81946,262.43813,0.026542804,133849.6765
102.8644256,60186.91902,262.43991,0.025941014,133847.0962
103.2294442,60189.12017,262.44177,0.025431203,133844.5245
103.5934288,60191.38906,262.44369,0.024944605,133841.9442
103.9514098,60193.65794,262.4456,0.024475112,133839.3639
104.3032535,60195.79136,262.44743,0.023963381,133836.7836
104.6474062,60197.75547,262.44908,0.023372412,133834.1946
104.9861007,60199.44866,262.45052,0.022718961,133831.623
105.3119753,60200.90481,262.45175,0.022080693,133829.034
105.6410137,60202.25937,262.45289,0.021531089,133826.4537
105.969908,60203.71551,262.45412,0.021253931,133823.8647
106.2921506,60205.37485,262.45552,0.021071195,133821.2931
106.611111,60207.16963,262.45704,0.020896312,133818.704
106.9185839,60208.72737,262.45837,0.02040378,133816.115
107.2052269,60209.81102,262.45928,0.019666728,133813.5347
107.4839527,60210.79307,262.4601,0.019295845,133810.9457
107.7603583,60212.75718,262.46178,0.02002452,133808.3567
108.0667766,60217.12562,262.46545,0.022192045,133805.7851
109.8358569,60240.28853,262.48505,0.020365732,133785.1078
109.9505522,60229.2489,262.47571,0.016078853,133782.5188
110.7178712,60202.59801,262.45318,0.013679547,133772.1802
110.9778917,60203.51233,262.45394,0.014385883,133769.5912
111.2343472,60205.23939,262.45543,0.014502471,133767.0108
111.4855708,60206.79713,262.45672,0.014173476,133764.4305
111.7282649,60207.9485,262.4577,0.0135106,133761.8415
112.2190805,60210.25125,262.45965,0.012719092,133756.6722
112.4630504,60211.6058,262.4608,0.012391668,133754.0919
112.7043452,60213.16354,262.46211,0.0123798,133751.5029
112.9405625,60214.65355,262.46336,0.012207187,133748.9139
113.1708688,60215.90652,262.46444,0.011936486,133746.3336
113.3971778,60216.9563,262.46534,0.011625818,133743.7446
113.8370943,60218.64949,262.46675,0.011037292,133738.5752
114.0516226,60219.32677,262.46734,0.010774446,133735.9862
114.471733,60220.57974,262.46839,0.010306174,133730.8169
114.6764817,60221.0877,262.46882,0.010066016,133728.2279
114.8760706,60221.52793,262.4692,0.00982551,133725.6476
115.070942,60221.96816,262.46955,0.009591461,133723.0586
115.2663072,60222.37452,262.46989,0.009372597,133720.4783
