   Vtrue_ktas ,   AMprs_inHG ,   AMtmp_degC ,   alpha__deg ,   curnt___lb 
271.3985,20.11262,-4.13991,-0.29778,39067.53516
266.77728,20.18377,-3.94406,-0.13604,39052.04297
266.66803,20.1861,-3.93767,-0.05946,39051.39062
266.52301,20.18779,-3.93302,-0.02832,39050.71875
266.33023,20.18859,-3.9308,-0.03211,39050.07031
266.09232,20.18858,-3.93085,-0.05611,39049.44141
265.82394,20.18796,-3.93254,-0.08643,39048.76562
265.53632,20.18702,-3.93514,-0.11283,39048.11719
265.25729,20.18605,-3.9378,-0.12923,39047.47266
264.99002,20.18522,-3.94007,-0.13341,39046.80078
264.74106,20.18464,-3.94168,-0.12803,39046.15234
264.5101,20.18429,-3.94263,-0.11668,39045.5
264.29443,20.18414,-3.94304,-0.10243,39044.85547
264.0899,20.18412,-3.94311,-0.08852,39044.18359
263.89117,20.18415,-3.94304,-0.07703,39043.53906
263.69592,20.18417,-3.94297,-0.0686,39042.88672
263.50354,20.18416,-3.943,-0.0628,39042.26172
263.31067,20.1841,-3.94315,-0.0589,39041.61328
263.11862,20.18401,-3.94341,-0.05624,39040.98828
262.92953,20.18389,-3.94375,-0.05376,39040.31641
262.74237,20.18376,-3.94411,-0.05112,39039.64844
262.55911,20.18363,-3.94445,-0.04784,39038.97656
262.37598,20.18352,-3.94476,-0.04395,39038.33203
262.19974,20.18342,-3.94502,-0.03967,39037.67969
262.02805,20.18335,-3.94523,-0.03504,39037.03516
261.86099,20.18329,-3.94539,-0.03067,39036.36719
261.69614,20.18324,-3.94554,-0.02605,39035.73828
261.535,20.18319,-3.94566,-0.0218,39035.09375
261.37814,20.18315,-3.94578,-0.01762,39034.44531
261.22141,20.1831,-3.94591,-0.01379,39033.82031
261.06729,20.18306,-3.94603,-0.01005,39033.15234
260.91589,20.18301,-3.94616,-0.00677,39032.52344
260.76837,20.18297,-3.94628,-0.00302,39031.89844
260.62378,20.18292,-3.9464,0.00043,39031.26953
260.48022,20.18288,-3.94651,0.00378,39030.625
260.3381,20.18284,-3.94662,0.00721,39029.97266
260.19751,20.18281,-3.94672,0.01066,39029.30469
260.05832,20.18277,-3.94682,0.01414,39028.67969
259.92307,20.18274,-3.9469,0.01767,39028.03125
259.78833,20.18271,-3.94698,0.02083,39027.38672
259.65414,20.18269,-3.94705,0.02406,39026.73828
259.5239,20.18266,-3.94712,0.02746,39026.07031
259.39444,20.18264,-3.94718,0.03077,39025.41797
259.2645,20.18262,-3.94725,0.03393,39024.76953
259.13596,20.18259,-3.94731,0.03695,39024.11719
259.01035,20.18257,-3.94737,0.04014,39023.78125
258.88602,20.18255,-3.94743,0.04321,39023.15625
258.76315,20.18253,-3.94748,0.04647,39022.51172
258.64056,20.18251,-3.94753,0.04931,39021.83984
258.52036,20.18249,-3.94758,0.05233,39021.16797
258.40259,20.18248,-3.94763,0.05528,39020.53906
258.28595,20.18246,-3.94768,0.05817,39019.89062
258.1705,20.18244,-3.94772,0.06101,39019.26562
258.05533,20.18243,-3.94777,0.06379,39018.59375
257.94147,20.18241,-3.94781,0.06668,39017.96484
257.83014,20.1824,-3.94785,0.06961,39017.32031
257.71997,20.18238,-3.94789,0.07238,39016.66797
257.60941,20.18236,-3.94793,0.07491,39015.99609
257.50177,20.18235,-3.94797,0.07768,39015.36719
257.39542,20.18233,-3.94801,0.0804,39014.72266
257.28973,20.18232,-3.94804,0.08313,39014.07031
257.18695,20.18231,-3.94808,0.08564,39013.42969
257.08304,20.1823,-3.94812,0.08838,39012.76172
256.9798,20.18229,-3.94815,0.09075,39012.11328
256.87802,20.18227,-3.94819,0.09342,39011.48438
256.77878,20.18226,-3.94822,0.09587,39010.8125
256.6796,20.18225,-3.94825,0.09858,39010.18359
256.58377,20.18224,-3.94828,0.10099,39009.55859
256.48746,20.18223,-3.94831,0.10355,39008.91406
256.38962,20.18221,-3.94834,0.10568,39008.26172
256.2952,20.18221,-3.94837,0.10815,39007.64062
256.20105,20.1822,-3.9484,0.11077,39007.01172
256.10895,20.18218,-3.94843,0.11277,39006.36328
256.01758,20.18218,-3.94846,0.11518,39005.71875
255.92656,20.18217,-3.94848,0.11775,39005.07031
255.83743,20.18216,-3.94851,0.11993,39004.42188
255.76779,20.18337,-3.94517,0.12958,39003.75
255.70969,20.18337,-3.94517,0.1313,39003.41016
255.6512,20.18335,-3.94522,0.1326,39003.09766
255.55943,20.18327,-3.94544,0.13424,39002.46875
255.46513,20.18313,-3.94582,0.13322,39001.81641
255.37032,20.18297,-3.94627,0.13185,39001.16797
255.27896,20.1828,-3.94673,0.13133,39000.54297
255.18787,20.18265,-3.94714,0.13222,38999.88672
255.10147,20.18253,-3.94747,0.13398,38999.21875
255.01817,20.18245,-3.94771,0.13706,38998.55078
254.93614,20.18239,-3.94787,0.14016,38997.92578
254.85608,20.18235,-3.94798,0.14337,38997.26953
254.7765,20.18232,-3.94806,0.14638,38996.60938
254.70009,20.1823,-3.94812,0.149,38995.94141
254.54631,20.18225,-3.94824,0.15348,38994.62109
250.09601,18.94033,-7.39973,0.39524,38980.32422
252.63811,18.99665,-7.24165,0.30721,38976.35156
253.07457,19.01171,-7.1994,0.4804,38975.9375
208.40044,19.09526,-6.96526,2.36454,38972.39062
206.86447,19.09391,-6.96902,2.4172,38970.64453
206.13875,19.08736,-6.98739,2.46444,38970.23047
205.32127,19.0795,-7.00939,2.12007,38969.76562
204.56812,19.07236,-7.02941,2.19056,38967.58203
204.7341,19.07646,-7.01791,2.34693,38967.16797
204.84985,19.08026,-7.00727,2.42003,38966.73047
204.89807,19.08332,-6.9987,2.42945,38966.31641
