time,vind_kias,prs,tmp,alt_msl,curr_w
2678.93213,0.51214,30.08728,15.0232,867.26971,1810.86816
2679.13184,0.51214,30.08727,15.0232,867.2702,1810.86816
2679.33179,0.72429,30.08727,15.0232,867.27075,1810.8595
2679.53174,0.88708,30.08727,15.0232,867.2713,1810.8595
2679.73169,1.14522,30.08727,15.0232,867.27191,1810.8595
2679.93213,1.35505,30.08727,15.02319,867.27252,1810.8595
2680.13159,1.61961,30.08727,15.02319,867.27313,1810.8595
2680.3313,1.98362,30.08727,15.02319,867.2738,1810.84753
2680.53174,2.34705,30.08727,15.02319,867.27472,1810.84753
2680.73169,2.75812,30.08727,15.02319,867.27576,1810.84753
2680.9314,3.23926,30.08727,15.02319,867.27704,1810.84753
2681.13208,3.76369,30.08727,15.02318,867.27863,1810.84753
2681.34106,4.40589,30.08727,15.02318,867.28082,1810.83362
2681.5415,5.04433,30.08726,15.02317,867.28333,1810.83362
2681.73706,5.70334,30.08726,15.02317,867.28638,1810.83362
2681.94165,6.41754,30.08726,15.02316,867.29028,1810.83362
2682.1416,7.17046,30.08725,15.02315,867.29504,1810.83362
2682.34155,7.95111,30.08725,15.02314,867.30078,1810.81775
2682.54102,8.79692,30.08724,15.02313,867.30725,1810.81775
2682.7417,9.65014,30.08723,15.02311,867.31409,1810.81775
2682.94214,10.54636,30.08723,15.0231,867.32111,1810.81775
2683.14111,11.46407,30.08722,15.02308,867.32892,1810.81775
2683.34106,12.39849,30.08721,15.02307,867.3382,1810.80078
2683.5415,13.36576,30.0872,15.02304,867.35071,1810.80078
2683.74121,14.33181,30.08718,15.02301,867.36633,1810.80078
2683.94116,15.33114,30.08717,15.02298,867.38287,1810.80078
2684.14185,16.34159,30.08715,15.02295,867.39709,1810.80078
2684.34106,17.34612,30.08714,15.02293,867.409,1810.78284
2684.54175,18.36712,30.08712,15.0229,867.42389,1810.78284
2684.74146,19.402,30.0871,15.02286,867.44586,1810.78284
2684.94165,20.43583,30.08708,15.02281,867.46838,1810.78284
2685.14111,21.47485,30.08706,15.02278,867.48169,1810.78284
2685.34155,22.51835,30.08706,15.02276,867.49139,1810.76477
2685.5415,23.56018,30.08704,15.02273,867.51001,1810.76477
2685.74146,24.60054,30.08702,15.02269,867.52832,1810.76477
2685.94165,25.64472,30.08701,15.02268,867.53113,1810.76477
2686.14185,26.68246,30.08701,15.02268,867.53284,1810.76477
2686.34155,27.72392,30.08701,15.02266,867.54169,1810.74658
2686.5415,28.75961,30.08701,15.02267,867.53546,1810.74658
2686.74121,29.7989,30.08702,15.0227,867.52155,1810.74658
2686.94189,30.82018,30.08703,15.02272,867.51331,1810.74658
2687.1416,31.84166,30.08705,15.02275,867.49268,1810.74658
2687.3418,32.85933,30.08707,15.0228,867.4682,1810.72827
2687.54126,33.86578,30.0871,15.02285,867.44476,1810.72827
2687.7417,34.86575,30.08713,15.0229,867.4173,1810.72827
2687.94141,35.85978,30.08715,15.02296,867.39008,1810.72827
2688.14209,36.8448,30.08718,15.02301,867.36615,1810.72827
2688.34131,37.81804,30.08719,15.02304,867.34845,1810.70959
2688.54175,38.79053,30.08722,15.02308,867.33038,1810.70959
2688.7417,39.74582,30.08722,15.02308,867.33063,1810.70959
2688.94141,40.69159,30.08722,15.02309,867.32672,1810.70959
2689.1416,41.62847,30.0872,15.02305,867.3468,1810.70959
2689.3418,42.55705,30.08719,15.02302,867.36237,1810.69092
2689.54126,43.47787,30.08715,15.02296,867.39697,1810.69092
2689.74219,44.39141,30.08712,15.0229,867.42639,1810.69092
2689.94165,45.28942,30.08709,15.02282,867.46454,1810.69092
2690.1416,46.18417,30.08705,15.02276,867.4967,1810.69092
2690.34131,47.07027,30.08702,15.0227,867.52472,1810.67212
2690.54199,47.95094,30.087,15.02266,867.54657,1810.67212
2690.7417,48.82378,30.08699,15.02264,867.55316,1810.67212
2690.94116,49.68394,30.08699,15.02263,867.55438,1810.67212
2691.14136,50.53983,30.08701,15.02266,867.54016,1810.67212
2691.34204,51.38913,30.08702,15.02271,867.5166,1810.6532
2691.5415,52.22712,30.08705,15.02275,867.49579,1810.6532
2691.7373,53.05683,30.08708,15.02281,867.46259,1810.6532
2691.94214,53.85915,30.08709,15.02284,867.45123,1810.6532
2692.14209,54.63049,30.08709,15.02282,867.46405,1810.6532
2692.34204,55.37451,30.08705,15.02276,867.49744,1810.63464
2692.54224,56.11568,30.08702,15.02269,867.53223,1810.63464
2692.74194,56.88639,30.08699,15.02263,867.55756,1810.63464
2692.94141,57.68547,30.08698,15.02262,867.56348,1810.63464
2693.14209,58.45568,30.08697,15.0226,867.57349,1810.63464
2693.34229,59.176,30.08694,15.02253,867.61456,1810.61597
2693.54224,59.86794,30.08687,15.02241,867.67902,1810.61597
0,0,0,0,0,0
2725.13794,0.51214,30.08729,15.02324,867.25183,1997.95557
2725.33813,0.72429,30.08729,15.02323,867.25232,1997.94397
2725.53809,1.02431,30.08729,15.02323,867.25299,1997.94397
2725.73828,1.35505,30.08729,15.02323,867.25372,1997.94397
2725.93799,1.69866,30.08729,15.02323,867.25452,1997.94397
2726.14795,2.17295,30.08729,15.02323,867.25531,1997.94397
2726.3479,2.61157,30.08729,15.02323,867.25623,1997.93042
2726.5481,3.11542,30.08729,15.02322,867.25739,1997.93042
2726.74854,3.65765,30.08729,15.02322,867.25903,1997.93042
2726.948,4.25443,30.08729,15.02322,867.2608,1997.93042
2727.14819,4.9126,30.08728,15.02321,867.26324,1997.93042
2727.35815,5.63392,30.08728,15.02321,867.2663,1997.91467
2727.55835,6.29372,30.08728,15.0232,867.26984,1997.91467
2727.75806,7.0226,30.08727,15.02319,867.27423,1997.91467
2727.95801,7.7844,30.08727,15.02318,867.27942,1997.91467
2728.15771,8.58564,30.08726,15.02317,867.28546,1997.91467
2728.35815,9.41625,30.08726,15.02316,867.29224,1997.89771
2728.55811,10.25633,30.08725,15.02314,867.29968,1997.89771
2728.75781,11.11553,30.08724,15.02313,867.30756,1997.89771
2728.95801,12.00069,30.08723,15.02311,867.31659,1997.89771
2729.15796,12.90646,30.08722,15.02309,867.3277,1997.89771
2729.34863,13.77176,30.08721,15.02306,867.341,1997.87988
2729.5481,14.6844,30.08719,15.02303,867.35693,1997.87988
2729.74805,15.61091,30.08718,15.023,867.37225,1997.87988
2729.94727,16.55688,30.08716,15.02297,867.38495,1997.87988
2730.13794,17.45917,30.08715,15.02295,867.39679,1997.87988
2730.33765,18.38853,30.08713,15.02292,867.414,1997.87988
2730.53784,19.33428,30.08711,15.02287,867.43646,1997.86194
2730.73779,20.3006,30.08709,15.02283,867.45587,1997.86194
2730.93774,21.25383,30.08708,15.02281,867.46655,1997.86194
2731.13794,22.21341,30.08707,15.02279,867.47797,1997.86194
2731.33716,23.17286,30.08705,15.02275,867.49811,1997.86194
2731.52808,24.07781,30.08703,15.02272,867.51245,1997.84375
