time,vind_kias,vind_keas,vind_mph,prs,tmp,lat,lon,alt_msl,alt_agl,payld,fuel,curr_w,gear1,gear2,gear3
4450.3833,0.48666,0.41658,0.56004,25.55952,-20.00163,39.51373,-119.76922,4415.8252,0.30513,123.42001,48.34034,1810.76038,483.45334,688.89264,637.16321
4450.5835,0.48666,0.5288,0.56004,25.55952,-20.00163,39.51373,-119.76922,4415.82471,0.30513,123.42001,48.34034,1810.76038,488.89401,694.53638,623.36401
4450.78369,0.68831,0.65057,0.79209,25.55952,-20.00163,39.51373,-119.76922,4415.82471,0.30549,123.42001,48.34034,1810.76038,496.74612,702.5564,613.39307
4450.9834,0.84303,0.79035,0.97014,25.55952,-20.00163,39.51373,-119.76922,4415.82422,0.30586,123.42001,48.34034,1810.76038,498.5412,706.69891,604.99084
4451.19336,0.84303,0.95998,0.97014,25.55952,-20.00163,39.51373,-119.76922,4415.82373,0.30613,123.42001,48.34034,1810.76038,503.22913,706.88953,600.70557
4451.39307,1.08839,1.14395,1.2525,25.55952,-20.00163,39.51373,-119.76922,4415.82324,0.30607,123.42001,48.32969,1810.74976,507.53531,703.21124,600.37061
4451.59375,1.28783,1.37442,1.48201,25.55952,-20.00163,39.51373,-119.76922,4415.82227,0.30599,123.42001,48.32969,1810.74976,501.87952,704.62366,601.25275
4451.79346,1.53928,1.64801,1.77137,25.55953,-20.00162,39.51373,-119.76922,4415.82129,0.30612,123.42001,48.32969,1810.74976,498.21478,711.31293,604.82977
4451.99316,1.88526,1.96696,2.16952,25.55953,-20.00162,39.51373,-119.76922,4415.81982,0.30601,123.42001,48.32969,1810.74976,490.52856,712.34064,603.11835
4452.19336,2.17693,2.32753,2.50517,25.55953,-20.00162,39.51372,-119.76922,4415.81885,0.30594,123.42001,48.32969,1810.74976,487.12433,717.35193,603.28064
4452.39355,2.52939,2.73508,2.91077,25.55953,-20.00162,39.51372,-119.76922,4415.81689,0.30539,123.42001,48.31737,1810.7373,480.76053,717.33118,603.83362
4452.59326,3.00075,3.19317,3.4532,25.55953,-20.00161,39.51372,-119.76922,4415.81543,0.30522,123.42001,48.31737,1810.7373,475.11929,722.13849,605.26947
4452.79297,3.47637,3.69554,4.00053,25.55953,-20.00161,39.51371,-119.76922,4415.81396,0.30478,123.42001,48.31737,1810.7373,471.01511,725.2243,606.63593
4452.99316,3.98456,4.24088,4.58535,25.55953,-20.00161,39.51371,-119.76922,4415.8125,0.30426,123.42001,48.31737,1810.7373,463.09027,728.15314,606.53033
4453.19336,4.54051,4.82923,5.22513,25.55954,-20.0016,39.51371,-119.76922,4415.81006,0.30435,123.42001,48.31737,1810.7373,457.66925,732.28851,605.61707
4453.39307,5.12871,5.45838,5.90201,25.55954,-20.0016,39.5137,-119.76922,4415.80811,0.30422,123.42001,48.30279,1810.72278,452.38049,735.60602,607.66498
4453.59326,5.75986,6.12717,6.62833,25.55954,-20.00159,39.51369,-119.76922,4415.80469,0.3054,123.42001,48.30279,1810.72278,448.69171,736.48511,607.64417
4453.79346,6.43974,6.82926,7.41072,25.55954,-20.00159,39.51369,-119.76922,4415.80078,0.30678,123.42001,48.30279,1810.72278,447.35553,736.20551,606.34528
4453.99365,7.13788,7.57276,8.21413,25.55955,-20.00157,39.51368,-119.76922,4415.79492,0.30869,123.42001,48.30279,1810.72278,447.55994,733.65497,602.86414
4454.19336,7.8645,8.34487,9.0503,25.55956,-20.00156,39.51368,-119.76922,4415.78857,0.31019,123.42001,48.30279,1810.72278,448.25317,730.58173,600.56
4454.39307,8.62614,9.14352,9.92678,25.55956,-20.00155,39.51367,-119.76922,4415.78174,0.31013,123.42001,48.28696,1810.70691,442.63962,728.67358,600.34149
4454.59326,9.4143,9.97575,10.83378,25.55957,-20.00154,39.51366,-119.76922,4415.77588,0.30886,123.42001,48.28696,1810.70691,434.25189,730.73694,599.5556
4454.79346,10.23444,10.82817,11.77758,25.55957,-20.00153,39.51365,-119.76922,4415.77051,0.30762,123.42001,48.28696,1810.70691,422.63544,735.82251,602.91687
