time,v_a,v_g,prs,tmp,lat,lon,alt_r,alt_i,payld,fuel,curr_w,cg,gear
5513.5693,0.49767733,0.5586035,29.61118,0.011411437,42.737278,-73.80426,0.30075374,279.23083,119.68001,111.69846,1870.3785,0.0032480857,690.6876
5513.7695,1.3167429,1.3993894,29.611181,0.01141203,42.737278,-73.80426,0.30150026,279.23053,119.68001,111.69846,1870.3785,0.0032480857,674.07965
5513.9697,2.111491,2.216149,29.611181,0.011412674,42.737278,-73.80426,0.30273098,279.2302,119.68001,111.69846,1870.3785,0.0032480857,662.24
5514.17,2.9443364,3.0233264,29.611181,0.011414456,42.73728,-73.80426,0.3035995,279.22928,119.68001,111.68692,1870.367,0.0032480857,663.30786
5514.3706,3.7574315,3.827346,29.611181,0.011417426,42.737286,-73.80426,0.30387986,279.22778,119.68001,111.68692,1870.367,0.0032480857,664.5879
5514.571,4.506721,4.6247735,29.611187,0.011420892,42.73729,-73.80426,0.3032844,279.22604,119.68001,111.68692,1870.367,0.0032480857,659.3587
5514.771,5.3138137,5.4105625,29.611187,0.01142406,42.737293,-73.80426,0.30236307,279.22443,119.68001,111.68692,1870.367,0.0032480857,649.12384
5514.971,6.095363,6.1922126,29.611189,0.0114268325,42.737297,-73.80426,0.3014518,279.22302,119.68001,111.68692,1870.367,0.0032480857,648.52136
5515.1714,6.860106,6.966496,29.611189,0.011429753,42.737305,-73.80426,0.30172992,279.22156,119.68001,111.67538,1870.3553,0.0032480857,644.6599
5515.3716,7.6293583,7.7340765,29.611193,0.011434902,42.737312,-73.80426,0.3040801,279.21896,119.68001,111.67538,1870.3553,0.0032480857,639.17786
5515.572,8.37235,8.497926,29.611197,0.011444357,42.73732,-73.80426,0.30827805,279.21417,119.68001,111.67538,1870.3553,0.0032480857,629.6905
5515.772,9.136274,9.257661,29.611202,0.011458516,42.737328,-73.80426,0.31239545,279.20703,119.68001,111.67538,1870.3553,0.0032480857,623.9159
5515.972,9.891286,10.009827,29.611212,0.011474259,42.737335,-73.80426,0.3133738,279.19907,119.68001,111.67538,1870.3553,0.0032480857,617.7152
5516.1724,10.627635,10.753811,29.611216,0.01148614,42.737347,-73.80426,0.3100182,279.19305,119.68001,111.66384,1870.3439,0.0032480857,616.85394
5516.3726,11.37076,11.493707,29.611221,0.011490893,42.73736,-73.80426,0.3063017,279.19064,119.68001,111.66384,1870.3439,0.0032480857,624.0402
5516.5728,12.098958,12.227553,29.611221,0.0114927245,42.737366,-73.80426,0.30784366,279.18973,119.68001,111.66384,1870.3439,0.0032480857,622.35175
5516.773,12.814775,12.95571,29.611225,0.011499854,42.73738,-73.80426,0.3145791,279.18613,119.68001,111.66384,1870.3439,0.0032480857,605.2449
5516.973,13.538487,13.678417,29.611233,0.011513171,42.737392,-73.80426,0.31758386,279.17938,119.68001,111.66384,1870.3439,0.0032480857,590.08685
5517.1733,14.242828,14.391803,29.611235,0.0115213385,42.737404,-73.80426,0.31195393,279.17526,119.68001,111.65252,1870.3326,0.0032480857,591.4196
5517.3735,14.963683,15.104196,29.611233,0.011516735,42.73742,-73.80426,0.30751628,279.17758,119.68001,111.65252,1870.3326,0.0032480857,600.5442
5517.5737,15.66719,15.810765,29.61123,0.011510695,42.737434,-73.80426,0.31342438,279.18063,119.68001,111.65252,1870.3326,0.0032480857,593.9835
5517.774,16.36316,16.512907,29.611233,0.011512972,42.737446,-73.80426,0.31801543,279.17947,119.68001,111.65252,1870.3326,0.0032480857,571.9612
5517.974,17.067032,17.221651,29.611227,0.0115091605,42.737465,-73.80426,0.31023678,279.1814,119.68001,111.65252,1870.3326,0.0032480857,562.48663
5518.1743,17.784832,17.95572,29.61122,0.011488814,42.73748,-73.80426,0.30724978,279.1917,119.68001,111.63777,1870.3179,0.0032480857,562.78613
5518.3745,18.561707,18.731031,29.61121,0.011470595,42.737495,-73.80426,0.3165454,279.2009,119.68001,111.63777,1870.3179,0.0032480857,544.4531
5518.5747,19.358593,19.536926,29.611202,0.01145812,42.737514,-73.80426,0.31330073,279.2072,119.68001,111.63777,1870.3179,0.0032480857,528.9215
