time,vind_kias,vind_keas,vind_mph,prs,tmp,lat,lon,alt_msl,alt_agl,payld,fuel,curr_w,gear1,gear2,gear3
1384.58923,0.49311,0.48914,0.56746,29.61006,-4.9886,42.73728,-73.80426,279.23737,0.30884,123.42001,48.40837,1810.82837,488.44495,674.75482,647.02936
1384.78918,0.49311,0.59703,0.56746,29.61006,-4.9886,42.73728,-73.80426,279.23715,0.30918,123.42001,48.40837,1810.82837,498.37427,674.05859,638.08197
1384.98901,0.69736,0.69891,0.80251,29.61006,-4.9886,42.73728,-73.80426,279.23679,0.30945,123.42001,48.40837,1810.82837,504.02145,679.90979,626.38898
1385.18909,0.69736,0.80664,0.80251,29.61006,-4.9886,42.73728,-73.80426,279.23633,0.30958,123.42001,48.40837,1810.82837,507.63715,685.25159,617.53436
1385.38953,0.8541,0.92186,0.98288,29.61006,-4.9886,42.73728,-73.80426,279.23581,0.30972,123.42001,48.39936,1810.81946,511.39755,690.32849,608.6037
1385.58911,0.98623,1.05764,1.13493,29.61006,-4.9886,42.73728,-73.80426,279.23523,0.3098,123.42001,48.39936,1810.81946,515.28296,696.25476,598.36615
1385.78894,1.20788,1.23329,1.39,29.61006,-4.9886,42.73728,-73.80426,279.23459,0.30991,123.42001,48.39936,1810.81946,514.68805,703.69556,590.32648
1385.98914,1.39474,1.45923,1.60504,29.61006,-4.9886,42.73728,-73.80426,279.23386,0.3099,123.42001,48.39936,1810.81946,510.2135,708.34863,589.09875
1386.18909,1.63548,1.74432,1.88207,29.61007,-4.98859,42.73729,-73.80426,279.23297,0.30981,123.42001,48.39936,1810.81946,505.12845,711.72479,590.27887
1386.38928,1.97246,2.08484,2.26987,29.61007,-4.98859,42.73729,-73.80426,279.23203,0.30955,123.42001,48.38685,1810.80688,500.26111,718.05328,587.93915
1386.5896,2.3649,2.48434,2.72148,29.61007,-4.98859,42.73729,-73.80426,279.23105,0.30912,123.42001,48.38685,1810.80688,494.61487,720.09845,589.13831
1386.78943,2.78949,2.94064,3.21008,29.61007,-4.98859,42.73729,-73.80426,279.23013,0.30863,123.42001,48.38685,1810.80688,489.46539,721.20349,591.4021
1386.98889,3.30793,3.45227,3.80669,29.61007,-4.98859,42.73729,-73.80426,279.22931,0.30803,123.42001,48.38685,1810.80688,484.72836,720.27454,594.78387
